Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
JaKarr Sampson,St. John's (NY),66,64,30.3,5.8,12.4,.469,5.8,12.2,.476,0.0,0.2,.077,2.2,3.7,.607,2.1,4.2,6.4,1.1,0.9,1.0,1.8,13.9,6.86
Marcus Smart,Oklahoma State,64,63,33.1,4.9,11.9,.413,3.5,7.3,.488,1.4,4.6,.295,5.5,7.3,.751,1.5,4.4,5.9,4.5,2.9,0.6,3.0,16.6,7.53
Russ Smith,Louisville,133,80,24.3,4.7,11.3,.413,3.3,7.4,.449,1.4,3.9,.345,3.7,4.8,.760,0.7,2.0,2.7,2.8,1.9,0.1,2.4,14.3,7.79
Nik Stauskas,Michigan,75,69,32.9,4.3,9.2,.467,2.0,4.0,.500,2.3,5.2,.441,3.2,3.9,.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,14.1,9.85
David Stockton,Gonzaga,138,39,19.9,1.6,3.8,.424,1.1,2.2,.515,0.5,1.7,.306,1.1,1.5,.700,0.1,1.5,1.6,3.1,1.2,0.1,1.5,4.8,4.20
Jarnell Stokes,Tennessee,87,84,29.7,4.7,8.9,.530,4.7,8.9,.532,0.0,0.0,.000,3.5,5.6,.628,3.9,5.7,9.6,1.5,0.7,1.1,2.1,13.0,6.82
Noah Vonleh,Indiana,30,29,26.5,3.8,7.2,.523,3.2,6.1,.530,0.5,1.1,.485,3.2,4.5,.716,2.4,6.6,9.0,0.6,0.9,1.4,2.1,11.3,6.64
T.J. Warren,NC State,70,49,31.2,7.5,13.6,.555,6.9,11.5,.598,0.6,2.0,.315,2.8,4.3,.654,2.7,3.0,5.7,1.0,1.5,0.5,1.7,18.5,7.31
David Wear,UCLA,103,76,24.8,3.1,6.6,.477,2.6,5.3,.492,0.5,1.2,.413,1.1,1.4,.755,1.7,3.3,5.0,0.8,0.6,0.2,1.0,7.9,
Travis Wear,UCLA,96,83,26.3,4.0,7.7,.517,3.8,7.2,.524,0.2,0.5,.400,1.7,2.1,.807,1.8,2.9,4.7,0.8,0.7,1.0,0.9,9.8,
Shayne Whittington,Western Michigan,114,74,22.6,3.6,7.1,.515,3.6,6.7,.538,0.1,0.4,.167,2.4,3.2,.760,2.0,4.5,6.5,0.7,0.5,1.1,1.3,9.8,-0.97
Andrew Wiggins,Kansas,35,35,32.8,5.4,12.1,.448,4.2,8.5,.493,1.2,3.6,.341,5.0,6.5,.775,2.2,3.7,5.9,1.5,1.2,1.0,2.3,17.1,11.40
C.J. Wilcox,Washington,131,83,28.5,4.9,11.3,.433,2.6,5.4,.481,2.3,5.9,.389,2.3,2.7,.840,0.8,2.5,3.4,1.6,0.9,0.7,1.4,14.4,6.67
James Young,Kentucky,40,39,32.4,4.6,11.3,.407,2.5,5.4,.470,2.1,5.9,.349,3.1,4.4,.706,1.0,3.3,4.3,1.7,0.8,0.2,1.9,14.3,9.89
Steven Adams,Pitt,32,32,23.4,3.1,5.5,.571,3.1,5.5,.571,0.0,0.0,,1.0,2.2,.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,7.2,5.63
Chris Babb,Iowa State,67,67,32.9,2.8,7.2,.385,0.8,1.7,.487,1.9,5.4,.353,1.0,1.4,.714,0.8,3.0,3.8,1.9,1.1,0.2,0.8,8.4,
Anthony Bennett,UNLV,35,31,27.1,5.8,10.8,.533,4.7,8.1,.587,1.0,2.7,.375,3.5,5.1,.701,2.5,5.7,8.1,1.0,0.7,1.2,1.9,16.1,5.71
Vander Blue,Marquette,106,80,25.7,3.3,7.7,.429,2.8,6.0,.475,0.5,1.8,.277,2.1,3.0,.704,1.0,2.5,3.5,2.0,1.0,0.1,2.0,9.3,8.20
Lorenzo Brown,NC State,101,95,32.6,4.1,9.5,.429,3.4,7.4,.464,0.6,2.1,.305,2.8,3.8,.741,0.7,3.5,4.2,5.8,1.7,0.5,3.0,11.6,6.92
Reggie Bullock,Morgan State,46,,,1.1,2.7,.426,1.1,2.4,.455,0.0,0.2,.100,0.5,1.0,.522,,,2.0,0.4,0.6,0.1,,2.8,-9.30
Trey Burke,Michigan,73,71,35.7,6.0,13.3,.450,4.2,8.3,.499,1.8,5.0,.367,3.1,4.0,.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,16.9,9.51
Dwight Buycks,Marquette,68,40,26.0,2.9,6.4,.443,2.1,4.2,.486,0.8,2.2,.360,1.2,1.7,.687,0.8,2.3,3.0,2.8,1.1,0.0,2.0,7.7,8.37
Nick Calathes,Florida,72,71,33.0,5.3,11.6,.455,3.5,6.8,.507,1.8,4.8,.380,3.9,5.4,.715,1.0,4.3,5.3,6.3,1.8,0.1,3.1,16.3,4.43
Kentavious Caldwell-Pope,Georgia,64,60,33.0,5.3,12.7,.415,3.0,5.9,.504,2.3,6.9,.339,2.9,3.9,.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,15.8,7.02
Isaiah Canaan,Murray State,132,83,29.4,4.8,10.7,.450,2.5,5.2,.483,2.3,5.5,.419,3.6,4.5,.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,15.5,-3.56
Michael Carter-Williams,Syracuse,66,40,25.4,2.7,6.8,.398,2.1,4.8,.438,0.6,2.1,.307,2.2,3.2,.679,0.9,2.7,3.6,5.2,2.0,0.4,2.3,8.2,8.29
