2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year
4.3,9.4,.454,1.1,.382,2.8,2.0,0.8,4.0,5.4,12.3,.437,5.1,6.6,.777,61,61,33.0,1.8,,16.9,Josh Okogie,7.84,1.5,Georgia Tech,2.3,5.8,2019
1.8,3.5,.504,0.4,.257,1.5,3.4,0.3,3.2,2.1,5.0,.431,1.6,2.2,.734,122,58,21.7,1.2,,6.3,Theo Pinson,11.50,0.8,UNC,1.5,4.4,2019
2.2,5.1,.432,1.4,.334,4.3,1.2,0.3,3.5,3.6,9.3,.387,1.5,2.1,.716,135,69,26.3,0.9,,10.1,Cameron Reynolds,1.74,0.6,Tulane,1.2,4.5,2019
1.0,1.9,.545,2.1,.419,4.9,1.2,0.3,2.1,3.1,6.8,.455,1.1,1.2,.864,115,49,24.9,0.5,,9.3,Duncan Robinson,9.16,0.6,Michigan,0.7,2.5,2019
1.9,3.9,.477,0.8,.375,2.3,1.8,0.6,3.6,2.7,6.2,.440,2.1,2.8,.741,113,68,25.1,0.6,,8.4,Jerome Robinson,3.22,0.8,Bradley,1.5,3.2,2019
1.7,2.9,.566,1.0,.324,3.1,1.0,0.2,1.8,2.7,6.0,.442,1.6,2.2,.745,85,40,20.2,0.5,,7.9,Brandon Sampson,7.91,0.6,LSU,1.3,2.3,2019
4.6,9.3,.495,1.3,.336,4.0,3.6,0.1,2.7,5.9,13.3,.447,5.9,7.6,.778,33,32,29.9,1.0,,19.2,Collin Sexton,10.64,0.8,Alabama,2.8,3.8,2019
1.9,3.6,.542,2.2,.437,5.1,4.1,0.2,2.5,4.2,8.7,.480,2.3,2.8,.811,71,68,28.6,0.5,,12.9,Landry Shamet,4.22,0.8,Wichita State,1.5,3.0,2019
2.2,3.9,.561,2.2,.384,5.8,1.7,0.1,2.5,4.4,9.7,.456,3.0,3.9,.760,73,69,29.8,0.3,,14.1,Jordan Sibert,,1.3,Dayton,1.5,2.8,2019
3.7,6.4,.574,0.5,.450,1.1,1.8,1.1,2.8,4.2,7.5,.556,2.5,3.4,.717,37,21,28.4,2.2,,11.3,Zhaire Smith,9.60,1.1,Texas Tech,1.1,5.0,2019
2.4,4.7,.511,1.6,.433,3.8,0.8,1.5,5.8,4.0,8.4,.476,1.2,1.8,.700,40,39,28.1,2.3,,10.9,Omari Spellman,10.24,0.7,Villanova,1.0,8.0,2019
2.9,6.8,.430,1.4,.365,3.9,2.1,0.2,2.3,4.4,10.8,.406,2.9,3.8,.763,134,131,31.6,0.7,,13.1,Jared Terrell,3.85,1.3,Rhode Island,1.7,3.0,2019
2.9,5.1,.578,1.3,.406,3.2,2.5,0.3,3.5,4.2,8.2,.511,1.5,2.1,.719,102,95,27.2,1.1,,11.2,Khyri Thomas,7.83,1.4,Creighton,1.6,4.6,2019
8.4,14.2,.590,0.2,.246,0.7,2.0,1.1,,8.6,14.9,.573,5.4,7.8,.687,93,,33.8,,,22.7,Gary Trent,0.19,0.6,Ohio,3.3,11.3,2019
3.2,5.7,.566,1.8,.378,4.9,2.4,0.2,3.3,5.1,10.6,.479,4.7,5.7,.827,78,67,31.5,0.4,,16.8,Allonzo Trier,7.23,0.5,Arizona,2.0,3.7,2019
2.1,4.8,.433,0.0,.000,0.1,1.0,0.8,4.6,2.1,4.9,.426,1.7,2.7,.632,14,0,17.0,3.3,,5.9,Jarred Vanderbilt,10.73,0.4,Kentucky,1.1,7.9,2019
2.9,4.5,.643,1.0,.385,2.7,0.5,0.4,3.3,3.9,7.2,.547,1.5,2.2,.698,107,77,21.0,1.2,,10.4,Moritz Wagner,9.16,0.8,Michigan,1.2,4.5,2019
2.2,4.6,.466,0.5,.344,1.5,3.4,0.2,3.0,2.7,6.1,.437,2.3,3.2,.722,134,68,23.5,0.9,,8.1,Brad Wanamaker,7.92,1.0,Pitt,1.9,3.9,2019
3.6,7.8,.468,0.9,.341,2.7,2.1,0.4,3.0,4.6,10.5,.435,1.7,2.5,.699,130,126,34.2,0.8,,11.7,Julian Washburn,1.19,0.9,UTEP,1.6,3.8,2019
2.6,5.5,.481,1.2,.337,3.5,1.5,1.1,3.4,3.8,8.9,.425,2.1,2.7,.788,134,107,30.1,1.1,,10.9,Yuta Watanabe,2.82,0.7,George Washington,1.3,4.5,2019
3.7,6.6,.554,0.3,.407,0.9,0.8,1.1,5.5,4.0,7.5,.537,1.0,1.3,.798,132,94,25.0,2.4,,9.5,Thomas Welsh,7.80,0.4,UCLA,0.7,7.8,2019
0.0,0.3,.000,0.1,.500,0.3,0.1,0.0,0.1,0.1,0.6,.250,0.1,0.1,.500,14,0,,0.1,,0.5,Johnathan Williams,8.25,0.1,Charlotte,0.4,0.1,2019
