,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
472,Terrence Jones,Kentucky,76,0.467,0.32799999999999996,0.638,8.0,1.5,1.2,1.8,1.8,14.0
473,Kris Joseph,Syracuse,140,0.449,0.331,0.7020000000000001,4.5,1.5,1.3,0.5,1.6,10.5
474,Michael Kidd-Gilchrist,Kentucky,40,0.491,0.255,0.745,7.4,1.9,1.0,0.9,2.2,11.9
475,Doron Lamb,Kentucky,78,0.485,0.475,0.8109999999999999,2.3,1.6,0.5,0.1,1.2,13.1
476,Jeremy Lamb,UConn,75,0.48200000000000004,0.348,0.8059999999999999,4.7,1.7,1.0,0.6,1.6,14.1
477,Meyers Leonard,Illinois,65,0.5670000000000001,0.083,0.7290000000000001,4.7,0.7,0.3,1.1,1.4,7.7
478,Damian Lillard,Weber State,104,0.446,0.39,0.867,4.3,3.5,1.2,0.2,2.4,18.6
479,Scott Machado,Iona,132,0.429,0.342,0.74,3.9,6.7,1.4,0.1,3.3,12.2
480,Kendall Marshall,UNC,73,0.446,0.366,0.693,2.3,8.0,1.1,0.1,2.6,7.2
481,Fab Melo,Syracuse,63,0.5760000000000001,0.333595588235294,0.5529999999999999,3.8,0.5,0.4,1.8,1.1,4.9
482,Khris Middleton,Texas A&M,87,0.431,0.321,0.768,4.6,2.0,1.0,0.2,2.0,11.3
483,Darius Miller,Kentucky,152,0.44799999999999995,0.379,0.815,3.2,1.8,0.8,0.7,1.4,8.2
484,Quincy Miller,Baylor,37,0.447,0.348,0.816,4.9,1.4,0.7,0.6,1.8,10.6
485,Arnett Moultrie,Mississippi State,30,0.5489999999999999,0.444,0.78,10.5,1.2,0.8,0.8,2.4,16.4
486,Kevin Murphy,Tennessee Tech,128,0.44299999999999995,0.37200000000000005,0.7340000000000001,4.2,1.9,0.8,0.2,3.0,15.8
487,Andrew Nicholson,St. Bonaventure,123,0.575,0.377,0.72,7.2,0.7,0.5,2.0,2.4,17.1
488,Kyle O'Quinn,Norfolk State,129,0.5529999999999999,0.261,0.685,8.5,0.9,0.5,2.2,2.0,12.5
489,Miles Plumlee,Duke,135,0.557,1.0,0.625,4.8,0.3,0.5,0.6,1.0,4.8
490,Austin Rivers,Duke,34,0.433,0.365,0.6579999999999999,3.4,2.1,1.0,0.0,2.3,15.5
491,Brian Roberts,Dayton,125,0.452,0.441,0.8490000000000001,3.0,2.8,0.5,0.1,2.2,15.7
492,Terrence Ross,Washington,69,0.45299999999999996,0.364,0.764,4.7,1.2,0.9,0.7,1.4,12.3
493,Robert Sacre,Gonzaga,136,0.504,0.25,0.735,5.0,0.7,0.5,1.4,1.6,9.3
494,Mike Scott,Eastern Kentucky,55,0.389,0.28600000000000003,0.677,3.5,2.0,1.3,0.1,1.6,6.2
495,Henry Sims,Georgetown,121,0.479,0.11800000000000001,0.654,3.2,1.4,0.3,0.8,1.3,4.9
496,Kyle Singler,Duke,148,0.433,0.363,0.773,6.9,2.0,1.1,0.7,2.1,16.2
497,Jared Sullinger,Ohio State,74,0.53,0.365,0.733,9.7,1.2,1.1,0.8,1.8,17.3
498,Jeffery Taylor,Vanderbilt,134,0.483,0.358,0.693,5.6,1.9,1.1,0.4,2.3,14.2
499,Tyshawn Taylor,Kansas,146,0.47700000000000004,0.37,0.708,2.2,3.9,1.2,0.2,2.6,10.8
500,Marquis Teague,Kentucky,40,0.41200000000000003,0.325,0.7140000000000001,2.5,4.8,0.9,0.3,2.7,10.0
501,Jarvis Varnado,Mississippi State,141,0.589,0.25,0.595,7.8,0.6,0.5,4.0,1.4,10.0
502,Dion Waiters,Syracuse,71,0.45299999999999996,0.348,0.753,1.9,2.0,1.5,0.2,1.1,9.7
503,Maalik Wayns,Villanova,95,0.41200000000000003,0.29100000000000004,0.848,2.7,3.4,0.9,0.0,2.3,12.5
504,Chris Wright,Dayton,123,0.489,0.22899999999999998,0.662,7.2,1.2,0.8,1.3,2.5,13.0
505,Tony Wroten,Washington,35,0.44299999999999995,0.161,0.583,5.0,3.7,1.9,0.4,3.8,16.0
506,Luke Zeller,Notre Dame,128,0.41700000000000004,0.36,0.574,2.5,0.6,0.2,0.3,0.6,4.2
507,Tyler Zeller,UNC,117,0.5429999999999999,0.0,0.775,6.7,0.6,0.7,1.1,1.4,12.8
508,Lavoy Allen,Temple,135,0.534,0.28800000000000003,0.6709999999999999,8.5,2.1,0.5,1.6,1.4,10.5
509,Keith Benson,Oakland,135,0.5579999999999999,0.379,0.679,8.2,0.7,0.5,2.7,1.4,14.1
510,MarShon Brooks,Providence,113,0.46399999999999997,0.33299999999999996,0.7390000000000001,4.3,1.5,1.1,0.7,1.8,14.4
511,Alec Burks,Colorado,68,0.495,0.313,0.804,5.8,2.4,1.1,0.4,2.3,19.0
512,Jimmy Butler,Marquette,106,0.508,0.38299999999999995,0.773,5.5,1.7,1.1,0.5,1.0,12.0
513,Derrick Byars,Vanderbilt,64,0.467,0.4,0.713,4.3,3.3,1.2,0.2,2.4,14.8
514,Norris Cole,Cleveland State,140,0.435,0.321,0.826,3.2,3.3,1.5,0.1,2.0,14.1
515,Justin Dentmon,Washington,133,0.428,0.349,0.789,3.2,3.0,1.4,0.1,2.3,10.7
516,Jerome Dyson,UConn,113,0.39,0.318,0.735,3.9,2.9,1.7,0.5,2.8,14.4
517,Kenneth Faried,Morehead State,136,0.569,0.25,0.583,12.3,0.9,1.7,1.8,2.2,14.8
518,Jeff Foote,Cornell,87,0.573,0.333595588235294,0.603,7.3,2.1,0.4,1.8,2.0,11.0
519,Courtney Fortson,Arkansas,47,0.397,0.311,0.677,5.4,5.9,1.2,0.1,4.7,16.0
520,Jimmer Fredette,BYU,139,0.455,0.39399999999999996,0.882,2.6,3.7,1.2,0.1,2.5,18.7
521,Mickell Gladness,Alabama A&M,85,0.442,0.0,0.667,7.0,0.5,0.6,4.7,1.6,7.3
522,Andrew Goudelock,College of Charleston,140,0.457,0.413,0.838,3.3,3.0,0.9,0.3,2.2,18.4
523,Jordan Hamilton,Lehigh,93,0.425,0.324,0.753,1.4,0.5,0.3,0.3,0.7,4.3
524,Justin Harper,Richmond,137,0.483,0.382,0.711,4.8,0.7,0.6,0.8,1.3,10.6
525,Josh Harrellson,Kentucky,94,0.5489999999999999,0.31,0.649,4.7,0.4,0.5,0.9,0.6,4.7
526,Terrel Harris,Oklahoma State,134,0.44,0.366,0.815,3.8,1.5,1.3,0.2,2.1,9.8
527,Tobias Harris,Tennessee,34,0.46,0.303,0.753,7.3,1.3,0.7,0.9,1.8,15.3
528,Cory Higgins,Colorado,132,0.467,0.34700000000000003,0.825,4.1,2.4,1.5,0.4,2.3,15.2
529,Darington Hobson,New Mexico,35,0.44,0.361,0.653,9.3,4.6,1.3,0.4,3.0,15.9
530,Tyler Honeycutt,UCLA,59,0.431,0.359,0.684,6.9,2.8,1.2,1.7,2.8,10.3
531,Dennis Horner,NC State,128,0.46799999999999997,0.358,0.7809999999999999,2.9,0.9,0.5,0.5,0.9,6.8
532,Kyrie Irving,Duke,11,0.529,0.462,0.9009999999999999,3.4,4.3,1.5,0.5,2.5,17.5
533,Reggie Jackson,Boston College,99,0.465,0.35100000000000003,0.753,4.4,3.5,0.8,0.5,2.1,12.7
534,Charles Jenkins,Hofstra,128,0.456,0.382,0.8109999999999999,4.3,3.8,1.7,0.6,3.0,19.6
535,Carldell Johnson,Alabama-Birmingham,96,0.405,0.401,0.716,2.3,5.0,2.3,0.0,1.6,5.7
536,Ivan Johnson,Oregon,28,0.5,0.0,0.634,3.2,0.4,0.9,0.3,1.7,7.5
537,JaJuan Johnson,Purdue,140,0.501,0.25,0.743,6.1,0.7,0.7,1.9,1.3,13.7
538,Jerome Jordan,Tulsa,133,0.5670000000000001,0.333595588235294,0.696,7.4,0.8,0.4,2.5,2.0,11.3
539,Cory Joseph,Texas,36,0.42200000000000004,0.413,0.6990000000000001,3.6,3.0,1.0,0.3,1.5,10.4
540,D.J. Kennedy,St. John's (NY),129,0.436,0.358,0.746,6.1,2.4,1.4,0.5,2.1,11.7
541,Brandon Knight,Kentucky,38,0.423,0.377,0.795,4.0,4.2,0.7,0.2,3.2,17.3
542,Malcolm Lee,UCLA,94,0.441,0.278,0.7170000000000001,3.0,2.0,0.8,0.2,1.7,9.7
543,Kawhi Leonard,San Diego State,70,0.449,0.25,0.7440000000000001,10.2,2.2,1.4,0.6,2.2,14.1
544,Travis Leslie,Georgia,90,0.48200000000000004,0.33299999999999996,0.743,6.1,2.1,1.1,0.7,2.0,12.2
545,Jon Leuer,Wisconsin,123,0.48200000000000004,0.368,0.723,4.5,1.1,0.4,0.7,1.2,11.2
546,DeAndre Liggins,Kentucky,100,0.40700000000000003,0.332,0.643,3.0,2.1,0.9,0.5,1.5,5.8
547,Shelvin Mack,Butler,108,0.419,0.35700000000000004,0.755,4.2,3.3,1.1,0.1,2.2,14.1
548,Vernon Macklin,Florida,71,0.599,0.333595588235294,0.511,5.5,0.8,0.5,0.8,1.5,11.1
549,E'Twaun Moore,Purdue,140,0.44,0.38,0.7290000000000001,4.4,2.9,1.2,0.4,2.1,15.3
550,Darius Morris,Michigan,67,0.469,0.223,0.695,2.9,4.8,0.8,0.1,2.3,9.9
551,Marcus Morris,Kansas,109,0.555,0.358,0.66,6.2,1.3,0.9,0.4,1.6,12.6
552,Markieff Morris,Kansas,109,0.5529999999999999,0.40399999999999997,0.653,6.1,1.2,0.6,0.9,1.6,8.5
553,Daniel Orton,Kentucky,38,0.527,0.0,0.524,3.3,0.4,0.6,1.4,1.0,3.4
554,Jeremy Pargo,Gonzaga,134,0.465,0.311,0.7040000000000001,3.4,4.4,1.3,0.1,2.7,9.3
555,Chandler Parsons,Florida,142,0.47700000000000004,0.337,0.611,6.0,2.4,0.9,0.3,1.6,10.2
556,Ryan Reid,Florida State,126,0.495,1.0,0.604,3.9,0.7,0.5,0.6,1.6,5.0
557,Josh Selby,Kansas,26,0.373,0.36200000000000004,0.757,2.2,2.2,0.8,0.0,2.0,7.9
558,Iman Shumpert,Georgia Tech,92,0.396,0.305,0.738,4.5,4.2,2.3,0.2,3.0,12.7
559,Xavier Silas,Northern Illinois,51,0.42100000000000004,0.361,0.831,4.9,1.7,1.0,0.4,3.2,21.0
560,Chris Singleton,Florida State,95,0.419,0.33,0.5920000000000001,6.2,1.5,1.9,1.4,2.4,10.3
561,Donald Sloan,Texas A&M,138,0.428,0.336,0.732,3.3,2.7,0.6,0.1,1.9,11.0
562,Greg Smith,Delaware State,49,0.391,0.667,0.688,1.7,0.2,0.3,0.3,0.4,2.5
563,Jerry Smith,Louisville,138,0.45399999999999996,0.389,0.73,3.1,1.7,1.3,0.2,1.4,8.7
564,Nolan Smith,Duke,143,0.44799999999999995,0.368,0.8,2.8,2.8,1.0,0.1,2.0,13.4
565,Greg Stiemsma,Wisconsin,95,0.545,0.0,0.759,2.3,0.8,0.2,1.0,0.7,2.7
566,Julyan Stone,UTEP,138,0.425,0.265,0.617,5.5,5.2,1.5,0.4,1.9,5.8
567,Isaiah Thomas,Washington,105,0.426,0.325,0.713,3.5,4.0,1.2,0.1,2.7,16.4
568,Lance Thomas,Duke,140,0.525,0.333595588235294,0.6,3.6,0.5,0.6,0.2,1.2,4.6
569,Malcolm Thomas,Louisiana-Monroe,39,0.387,0.38,0.772,4.1,0.7,1.1,0.3,1.7,10.8
570,Trey Thompkins,Georgia,89,0.469,0.35700000000000004,0.7290000000000001,7.8,1.4,1.0,1.3,2.6,15.7
571,Klay Thompson,Washington State,98,0.424,0.39,0.8270000000000001,4.8,2.6,1.3,0.8,2.9,17.9
572,Mychel Thompson,Pepperdine,128,0.35700000000000004,0.326,0.76,4.3,1.6,1.1,0.6,1.7,11.0
573,Tristan Thompson,North Texas,128,0.439,0.396,0.816,2.8,1.3,0.6,0.1,1.7,12.7
574,Edwin Ubiles,Siena,131,0.49700000000000005,0.353,0.672,4.3,2.1,1.2,0.7,2.1,14.8
575,Kemba Walker,UConn,111,0.428,0.326,0.7829999999999999,4.4,4.1,1.7,0.3,2.3,16.1
576,Derrick Williams,Birmingham-Southern,27,0.418,0.431,0.813,3.2,3.2,1.3,0.0,1.8830790568654632,11.1
577,Elliot Williams,Memphis,34,0.45899999999999996,0.366,0.758,4.0,3.8,1.3,0.1,2.9,17.9
578,Jordan Williams,Maryland,66,0.528,0.333595588235294,0.5589999999999999,10.2,0.4,0.7,1.2,1.3,13.2
579,Chris Wright,Dayton,123,0.489,0.22899999999999998,0.662,7.2,1.2,0.8,1.3,2.5,13.0
580,Jeff Adrien,UConn,133,0.515,0.33299999999999996,0.606,8.5,1.1,0.6,1.1,1.9,12.1
581,Solomon Alabi,Florida State,77,0.534,0.0,0.745,5.4,0.4,0.5,2.1,1.7,9.1
582,Cole Aldrich,Kansas,111,0.574,0.333595588235294,0.7290000000000001,7.7,0.6,0.5,2.3,1.2,9.4
583,Al-Farouq Aminu,Wake Forest,62,0.47600000000000003,0.23800000000000002,0.687,9.4,1.4,1.2,1.3,2.9,14.4
584,James Anderson,BYU,87,0.46299999999999997,0.333595588235294,0.39,1.3,0.2,0.1,0.4,0.2,1.6
585,Luke Babbitt,Nevada,68,0.48,0.42100000000000004,0.893,8.1,1.8,0.9,0.8,2.1,19.4
586,Eric Bledsoe,Kentucky,37,0.462,0.38299999999999995,0.667,3.1,2.9,1.4,0.3,3.0,11.3
587,Trevor Booker,Clemson,134,0.5589999999999999,0.324,0.624,7.9,1.7,1.1,1.9,1.9,12.9
588,Craig Brackins,Iowa State,96,0.445,0.292,0.726,7.7,1.6,0.5,1.0,2.0,16.0
589,Avery Bradley,Texas,34,0.43200000000000005,0.375,0.545,2.9,2.1,1.3,0.5,1.5,11.6
590,Derrick Caracter,UTEP,27,0.5670000000000001,0.267,0.672,8.1,1.1,1.0,0.9,2.9,14.1
591,Sherron Collins,Kansas,143,0.444,0.377,0.8079999999999999,2.4,3.9,1.0,0.0,2.3,13.2
592,Marcus Cousin,Houston,62,0.503,0.0,0.735,6.3,0.5,0.4,1.5,0.8,7.9
593,DeMarcus Cousins,Kentucky,38,0.5579999999999999,0.16699999999999998,0.604,9.8,1.0,1.0,1.8,2.1,15.1
594,Jordan Crawford,Xavier,35,0.462,0.391,0.773,4.7,2.9,1.3,0.2,2.4,20.5
595,Ed Davis,UNC,61,0.5479999999999999,0.333595588235294,0.623,7.7,0.7,0.4,2.1,1.4,9.2
596,Zabian Dowdell,Virginia Tech,122,0.43,0.36700000000000005,0.745,3.2,3.1,2.0,0.2,2.2,14.6
597,Devin Ebanks,West Virginia,69,0.46299999999999997,0.114,0.736,7.9,2.6,0.9,0.7,2.1,11.2
598,Jeremy Evans,Western Kentucky,134,0.639,0.364,0.684,5.9,0.5,0.6,1.7,1.0,7.9
599,Derrick Favors,Georgia Tech,36,0.611,0.0,0.629,8.4,1.0,0.9,2.1,2.5,12.4
600,Landry Fields,Stanford,129,0.46299999999999997,0.342,0.6759999999999999,5.0,1.6,0.9,0.4,1.5,10.8
601,Gary Forbes,UMass,69,0.415,0.304,0.69,6.7,2.8,1.0,0.6,2.8,16.3
602,Paul George,Fresno State,63,0.447,0.396,0.8029999999999999,6.7,2.4,2.0,0.9,2.7,15.5
603,Blake Griffin,Oklahoma,68,0.618,0.3,0.589,11.8,2.1,1.1,1.0,2.8,18.8
604,Luke Harangody,Notre Dame,129,0.47600000000000003,0.326,0.782,9.5,1.6,0.8,0.7,1.8,19.2
605,Manny Harris,Michigan,98,0.406,0.318,0.8270000000000001,5.7,3.7,1.5,0.4,3.2,17.0
606,Gordon Hayward,Butler,69,0.47,0.369,0.8240000000000001,7.4,1.8,1.3,0.9,2.0,14.4
607,Lazar Hayward,Marquette,138,0.452,0.35700000000000004,0.789,6.6,0.9,1.1,0.3,1.7,13.5
608,Xavier Henry,Kansas,36,0.45799999999999996,0.418,0.7829999999999999,4.4,1.5,1.5,0.5,1.9,13.4
609,Damion James,Texas,142,0.479,0.364,0.64,9.3,1.1,1.0,1.1,1.8,13.5
610,Armon Johnson,Nevada,101,0.467,0.289,0.75,3.7,4.4,0.8,0.2,2.7,14.3
611,Chris Johnson,Dayton,138,0.42700000000000005,0.371,0.826,6.1,1.1,0.8,0.4,1.1,10.6
612,Wesley Johnson,Charleston Southern,52,0.529,0.333595588235294,0.508,1.5,0.1,0.2,0.3,0.3,1.6
613,Dominique Jones,South Florida,95,0.442,0.32299999999999995,0.737,5.4,3.5,1.5,0.4,2.6,18.9
614,Gani Lawal,Georgia Tech,99,0.5479999999999999,0.0,0.552,7.2,0.4,0.6,1.3,2.1,11.8
615,Jeremy Lin,Harvard,115,0.48100000000000004,0.33299999999999996,0.733,4.3,3.5,2.0,0.6,2.9,12.9
616,Greg Monroe,Georgetown,65,0.5429999999999999,0.273,0.677,8.2,3.2,1.5,1.5,2.9,14.5
617,Hamady N'Diaye,Rutgers,124,0.539,0.0,0.5920000000000001,5.5,0.4,0.4,2.9,1.4,5.8
618,Gary Neal,Towson,49,0.446,0.36,0.823,4.1,3.3,1.6,0.2,2.7,25.6
619,Larry Owens,Oral Roberts,66,0.545,0.34600000000000003,0.569,7.7,2.8,1.6,1.1,2.3,10.9
620,Patrick Patterson,Kentucky,97,0.585,0.32899999999999996,0.7340000000000001,8.2,1.5,0.7,1.6,1.6,16.1
621,Dexter Pittman,Texas,134,0.623,0.333595588235294,0.601,3.9,0.3,0.2,0.9,1.1,6.6
622,Quincy Pondexter,Washington,136,0.503,0.327,0.768,5.6,1.7,0.8,0.3,1.9,13.1
623,Andy Rautins,Syracuse,127,0.396,0.374,0.763,2.6,2.7,1.4,0.2,1.7,8.8
624,Samardo Samuels,Louisville,70,0.5489999999999999,0.0,0.6890000000000001,5.9,1.1,0.6,1.2,2.3,13.5
625,Larry Sanders,VCU,101,0.52,0.25,0.5770000000000001,7.7,0.5,0.6,2.7,1.5,10.3
626,Mustafa Shakur,Arizona,131,0.452,0.355,0.7859999999999999,3.7,5.1,1.2,0.1,3.0,10.1
627,Lance Stephenson,Cincinnati,34,0.44,0.21899999999999997,0.664,5.4,2.5,0.9,0.2,2.4,12.3
628,Evan Turner,Ohio State,101,0.502,0.36200000000000004,0.758,6.8,4.1,1.6,0.7,3.5,15.0
629,Ekpe Udoh,Baylor,36,0.49,0.26899999999999996,0.685,9.8,2.7,0.8,3.7,2.4,13.9
630,Ben Uzoh,Tulsa,141,0.45399999999999996,0.349,0.782,5.0,3.0,1.1,0.7,2.4,13.8
631,John Wall,Kentucky,37,0.461,0.325,0.754,4.3,6.5,1.8,0.5,4.0,16.6
632,Willie Warren,Oklahoma,57,0.45899999999999996,0.35,0.7879999999999999,2.6,3.5,1.1,0.1,2.8,15.2
633,Hassan Whiteside,Marshall,34,0.524,0.6,0.588,8.9,0.3,0.6,5.4,1.9,13.1
634,Antonio Anderson,Memphis,150,0.418,0.308,0.648,4.0,3.6,1.4,0.3,1.6,8.5
635,DeJuan Blair,Pitt,72,0.568,0.333595588235294,0.614,10.7,1.1,1.6,1.0,1.6,13.6
636,Jon Brockman,Washington,131,0.534,0.0,0.612,9.8,1.0,0.8,0.1,2.1,13.8
637,Derrick Brown,Xavier,106,0.573,0.415,0.718,5.6,1.5,0.7,0.8,1.6,10.3
638,Chase Budinger,Arizona,100,0.469,0.38299999999999995,0.782,5.8,2.8,1.3,0.4,2.1,17.0
639,DeMarre Carroll,Missouri,70,0.5489999999999999,0.311,0.624,6.9,1.8,1.4,0.7,1.5,14.9
640,Earl Clark,Louisville,104,0.467,0.298,0.64,7.0,1.7,0.9,1.2,2.1,10.6
641,Darren Collison,UCLA,142,0.475,0.435,0.851,2.3,4.1,1.6,0.1,2.4,11.5
642,Dante Cunningham,Villanova,139,0.524,0.33299999999999996,0.693,5.9,1.0,1.2,0.8,1.8,9.6
643,JamesOn Curry,Oklahoma State,101,0.43700000000000006,0.40399999999999997,0.758,2.9,3.5,1.0,0.2,2.8,13.5
644,Stephen Curry,Davidson,104,0.467,0.41200000000000003,0.8759999999999999,4.5,3.7,2.1,0.3,3.0,25.3
645,Austin Daye,Gonzaga,67,0.47700000000000004,0.42200000000000004,0.79,5.8,1.0,0.7,1.9,1.9,11.6
646,DeMar DeRozan,USC,35,0.523,0.16699999999999998,0.6459999999999999,5.7,1.5,0.9,0.4,2.1,13.9
647,Toney Douglas,Florida State,99,0.44799999999999995,0.376,0.8059999999999999,3.3,2.9,1.9,0.3,2.6,16.7
648,Wayne Ellington,UNC,115,0.46299999999999997,0.397,0.809,4.1,2.2,0.9,0.1,1.5,14.7
649,Tyreke Evans,Memphis,37,0.455,0.27399999999999997,0.711,5.4,3.9,2.1,0.8,3.6,17.1
650,Jonny Flynn,Syracuse,73,0.46,0.33299999999999996,0.782,2.7,6.0,1.5,0.2,3.1,16.6
651,Sundiata Gaines,Georgia,123,0.41100000000000003,0.303,0.591,5.5,3.9,2.1,0.2,2.6,11.9
652,Alonzo Gee,Alabama,128,0.447,0.325,0.632,5.7,1.3,1.2,0.4,2.1,12.7
653,Taj Gibson,USC,105,0.58,0.333595588235294,0.629,8.5,1.4,0.7,2.4,2.5,12.4
654,Trey Gilder,Northwestern State,60,0.49700000000000005,0.263,0.782,4.9,1.5,1.3,0.6,2.5,14.5
655,Danny Green,UNC,145,0.455,0.375,0.845,4.1,1.8,1.1,1.1,1.4,9.4
656,Taylor Griffin,Oklahoma,129,0.46799999999999997,0.22,0.721,4.8,1.0,0.9,0.8,1.4,6.6
657,Tyler Hansbrough,UNC,142,0.536,0.316,0.7909999999999999,8.6,1.1,1.3,0.5,2.1,20.2
658,James Harden,Arizona State,69,0.506,0.376,0.755,5.4,3.7,1.9,0.4,3.0,19.0
659,Jordan Hill,Arizona,97,0.578,0.333595588235294,0.636,7.9,0.8,0.5,1.4,2.0,12.5
660,Jrue Holiday,UCLA,35,0.45,0.307,0.726,3.8,3.7,1.6,0.5,2.1,8.5
661,Lester Hudson,UT-Martin,65,0.456,0.37200000000000005,0.858,7.9,4.4,2.6,0.6,3.6,26.6
662,Chris Hunter,Michigan,105,0.46399999999999997,0.318,0.7490000000000001,3.5,0.5,0.5,0.9,1.5,7.0
663,Cedric Jackson,Cleveland State,71,0.405,0.35,0.659,5.3,5.2,2.8,0.2,3.7,12.3
664,Othyus Jeffers,UIC,63,0.47700000000000004,0.16699999999999998,0.607,8.1,2.8,1.3,0.4,2.8,13.5
665,Brandon Jennings,Fort Wayne,52,0.44799999999999995,0.33299999999999996,0.7709999999999999,2.6,0.6,0.5,0.0,0.6,3.3
666,James Johnson,Quinnipiac,127,0.385,0.37,0.792,3.5,3.8,1.5,0.1,2.2,13.6
667,Oliver Lafayette,Houston,64,0.359,0.322,0.725,5.1,2.5,2.9,0.2,2.0,15.0
668,Marcus Landry,Wisconsin,121,0.49,0.361,0.67,4.2,1.2,0.6,0.8,1.5,9.2
669,Ty Lawson,UNC,105,0.517,0.40299999999999997,0.78,2.9,5.8,1.8,0.1,2.1,13.1
670,Wesley Matthews,Marquette,127,0.444,0.341,0.799,4.9,2.1,1.2,0.3,2.2,13.2
671,Eric Maynor,VCU,130,0.449,0.37,0.7909999999999999,3.4,5.2,1.3,0.2,2.4,15.0
672,Jodie Meeks,Kentucky,81,0.436,0.386,0.89,3.0,1.6,1.1,0.1,1.8,15.4
673,A.J. Price,UConn,99,0.413,0.365,0.722,3.4,4.7,1.1,0.1,2.4,13.0
674,DaJuan Summers,Georgetown,101,0.439,0.353,0.727,4.4,1.3,1.0,0.6,2.2,11.2
675,Jermaine Taylor,UCF,122,0.466,0.376,0.764,3.9,1.4,0.9,0.4,2.2,16.2
676,Jeff Teague,Wake Forest,61,0.462,0.42100000000000004,0.812,3.0,3.0,1.9,0.6,3.0,16.4
677,Garrett Temple,LSU,134,0.371,0.278,0.7829999999999999,3.7,3.6,1.4,0.8,2.2,6.7
678,Hasheem Thabeet,UConn,100,0.611,0.333595588235294,0.625,8.5,0.4,0.4,4.2,1.8,10.3
679,Marcus Thornton,LSU,66,0.455,0.382,0.7709999999999999,5.5,1.8,1.5,0.3,2.0,20.4
680,Reggie Williams,Georgetown,138,0.49,0.386,0.768,6.4,2.4,1.5,0.5,2.3,15.3
681,Terrence Williams,Louisville,140,0.4,0.32,0.589,6.9,3.9,1.5,0.6,2.4,11.2
682,Sam Young,Pitt,143,0.498,0.35600000000000004,0.6920000000000001,5.0,1.0,0.8,0.8,1.9,13.2
683,Joe Alexander,West Virginia,82,0.447,0.295,0.765,4.8,2.0,0.6,1.2,1.8,12.1
684,Ryan Anderson,California,66,0.484,0.396,0.841,9.0,1.0,0.5,0.5,1.8,18.7
685,Darrell Arthur,Kansas,78,0.541,0.11800000000000001,0.6759999999999999,5.5,0.6,0.7,1.4,1.6,11.3
686,D.J. Augustin,Texas,73,0.44299999999999995,0.402,0.8079999999999999,2.9,6.2,1.4,0.0,3.0,16.9
687,Jerryd Bayless,Arizona,30,0.45799999999999996,0.40700000000000003,0.8390000000000001,2.7,4.0,1.0,0.1,3.0,19.7
688,Michael Beasley,Kansas State,33,0.532,0.379,0.774,12.4,1.2,1.3,1.6,2.9,26.2
689,Bobby Brown,Cal State Fullerton,116,0.428,0.377,0.789,2.5,4.4,1.3,0.1,3.1,16.9
690,Mario Chalmers,Kansas,110,0.486,0.419,0.767,2.8,3.8,2.6,0.4,2.4,12.2
691,Joe Crawford,Kentucky,127,0.43799999999999994,0.35,0.7020000000000001,3.4,1.5,0.5,0.2,1.6,11.3
692,Joey Dorsey,Memphis,149,0.614,0.333595588235294,0.42,8.1,0.5,1.1,1.8,1.3,6.7
693,Chris Douglas-Roberts,Memphis,109,0.54,0.37200000000000005,0.725,3.7,1.7,1.0,0.4,2.0,14.2
694,J.R. Giddens,New Mexico,59,0.48100000000000004,0.313,0.588,7.8,2.8,1.2,0.9,2.4,16.1
695,Eric Gordon,Indiana,32,0.433,0.337,0.8340000000000001,3.3,2.4,1.3,0.6,3.6,20.9
696,Malik Hairston,Oregon,117,0.504,0.395,0.643,5.1,2.1,0.6,0.6,2.0,14.1
697,Roy Hibbert,Georgetown,136,0.603,1.0,0.68,5.9,1.3,0.4,1.9,1.5,10.9
698,J.J. Hickson,NC State,31,0.591,0.0,0.677,8.5,1.0,0.7,1.5,2.7,14.8
699,George Hill,IUPUI,95,0.529,0.40399999999999997,0.785,5.8,3.3,1.6,0.3,2.5,17.0
700,Steven Hill,Arkansas,132,0.589,0.0,0.519,3.3,0.3,0.7,2.4,1.0,4.0
701,Othello Hunter,Ohio State,76,0.583,0.308,0.603,5.5,0.6,0.5,1.3,1.0,7.8
702,Darnell Jackson,Kansas,125,0.58,0.33299999999999996,0.685,4.9,0.5,0.5,0.4,1.0,6.8
703,Dontell Jefferson,Arkansas,62,0.389,0.27699999999999997,0.67,2.6,3.3,1.1,0.3,2.0,3.6
704,Trey Johnson,Jackson State,67,0.431,0.375,0.746,4.7,2.4,1.2,0.1,3.2,25.3
705,DeAndre Jordan,Texas A&M,35,0.617,0.333595588235294,0.43700000000000006,6.0,0.4,0.2,1.3,1.6,7.9
706,Kosta Koufos,Ohio State,37,0.508,0.349,0.68,6.7,0.5,0.4,1.8,1.5,14.4
707,Rob Kurz,Notre Dame,108,0.46799999999999997,0.409,0.81,6.0,1.3,0.6,1.1,1.5,9.4
708,Courtney Lee,Western Kentucky,127,0.46399999999999997,0.401,0.8170000000000001,5.2,2.2,1.9,0.6,2.5,17.6
709,Brook Lopez,Stanford,53,0.48,0.14300000000000002,0.764,7.1,1.1,0.5,1.9,2.1,16.0
710,Robin Lopez,Stanford,67,0.511,0.5,0.612,5.6,0.8,0.3,2.3,1.6,9.0
711,Kevin Love,UCLA,39,0.5589999999999999,0.354,0.767,10.6,1.9,0.7,1.4,2.0,17.5
