,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
90,Ike Anigbogu,UCLA,29,0.564,0.333595588235294,0.535,4.0,0.2,0.2,1.2,0.8,4.7
91,OG Anunoby,Indiana,50,0.563,0.365,0.522,3.5,0.8,1.0,0.9,1.1,6.8
92,Ryan Arcidiacono,Villanova,144,0.397,0.358,0.8,2.3,3.7,1.2,0.0,1.8,11.1
93,Jamel Artis,Pitt,135,0.47,0.37799999999999995,0.759,4.6,2.3,0.5,0.3,1.9,12.6
94,Dwayne Bacon,Florida State,69,0.449,0.312,0.733,5.0,1.6,1.0,0.1,2.1,16.5
95,Lonzo Ball,UCLA,36,0.551,0.41200000000000003,0.6729999999999999,6.0,7.6,1.8,0.8,2.5,14.6
96,Jordan Bell,Oregon,105,0.61,0.188,0.63,6.8,1.5,1.1,2.2,1.5,7.8
97,Khem Birch,UNLV,59,0.527,0.333595588235294,0.6779999999999999,8.2,0.9,0.7,3.3,1.3,9.6
98,Jabari Bird,California,114,0.442,0.371,0.753,3.3,1.2,0.5,0.3,1.2,10.8
99,Antonio Blakeney,LSU,64,0.444,0.34700000000000003,0.736,4.1,1.3,0.7,0.1,1.4,14.8
100,Chris Boucher,Oregon,69,0.532,0.344,0.6409999999999999,6.8,0.4,0.6,2.7,1.1,12.0
101,Tony Bradley,UNC,38,0.573,0.333595588235294,0.619,5.1,0.6,0.3,0.6,0.7,7.1
102,Dillon Brooks,Oregon,109,0.47200000000000003,0.36200000000000004,0.794,4.5,2.6,0.9,0.5,2.1,14.8
103,Sterling Brown,Washington,32,0.435,0.353,0.5329999999999999,0.8,0.4,0.1,0.0,0.3,1.7
104,Thomas Bryant,Indiana,69,0.5920000000000001,0.373,0.718,6.2,1.2,0.6,1.2,2.0,12.2
105,Alex Caruso,Texas A&M,137,0.455,0.34,0.685,3.7,4.7,2.0,0.4,2.5,8.0
106,Tyler Cavanaugh,George Washington,73,0.47600000000000003,0.41200000000000003,0.8370000000000001,8.0,1.6,0.5,0.3,2.4,17.5
107,Gian Clavell,Colorado State,70,0.418,0.36200000000000004,0.698,5.2,1.7,1.3,0.6,1.6,15.2
108,Antonius Cleveland,Southeast Missouri State,121,0.494,0.28800000000000003,0.612,4.7,2.0,1.3,0.6,1.9,12.9
