2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
2.4,5.1,0.476,1.1,0.33,3.3,1.5,1.4,4.2,3.5,8.4,0.419,2.1,3.5,0.592,95,91,29.1,2,10.3,Chris Singleton,7.05,1.9,Florida State,2.4,6.2,2012,Forward,48.4,16.80326241,10
2.2,4,0.542,0,0,0,0.4,2.9,3.7,2.2,4,0.539,1.5,2.5,0.592,124,85,22.1,1.8,5.8,Hamady N'Diaye,6.36,0.4,Rutgers,1.4,5.5,2011,Center,53.9,9.5,9.5
3.9,6.6,0.591,0,0.25,0,0.6,4,5.3,3.9,6.6,0.589,2.2,3.6,0.595,141,119,25.5,2.5,10,Jarvis Varnado,5.47,0.5,Mississippi State,1.4,7.8,2013,Forward,59,21.2,21.2
3.2,6.5,0.49,0.8,0.29,2.9,5.6,0.1,1.4,4,9.4,0.428,1.4,2.4,0.596,37,34,29.8,0.5,10.3,Trevon Duval,9.71,1.5,Duke,2.8,2,2019,Guard,47.3,13.7,3
1.8,3.6,0.506,0,0.33221216,0,0.5,1.3,2.5,1.8,3.6,0.506,1.2,1.9,0.599,114,44,18,2.3,4.8,Mangok Mathiang,8.17,0.5,Louisville,0.9,4.8,2018,Forward,50.6,17.8,8.4
1.7,3.3,0.508,0.7,0.293,2.4,0.7,0.3,2.7,2.4,5.7,0.418,0.9,1.5,0.6,120,66,20.8,1.3,6.4,Omari Johnson,6.43,0.6,Oregon State,1.3,4,2018,Forward,47.9,16.80326241,4.3
2.2,3.2,0.698,0,0,0,0.3,0.5,2.6,2.2,3.2,0.692,1,1.7,0.6,33,15,13.5,1.2,5.5,Tarik Black,5.647638522,0.3,Kansas,0.7,3.9,2015,Forward,61.4,20,11.5
1.7,3.2,0.525,0,0.33221216,0,0.5,0.2,1.8,1.7,3.2,0.525,1.3,2.1,0.6,140,101,19.7,1.8,4.6,Lance Thomas,9.51,0.6,Duke,1.2,3.6,2012,Forward,52.5,8.5,8.5
2.5,4,0.623,0,0.33221216,0,0.3,0.9,1.9,2.5,4,0.623,1.6,2.6,0.601,134,59,12.2,2,6.6,Dexter Pittman,7.54,0.2,Texas,1.1,3.9,2011,Center,62.3,10.8,10.8
4.2,7.4,0.573,0,0.33221216,0,2.1,1.8,5.2,4.2,7.4,0.573,2.6,4.3,0.603,87,64,26.5,2.1,11,Jeff Foote,-3.22,0.4,Cornell,2,7.3,2012,Center,57.3,11.2,11.2
3.2,5.4,0.591,0.1,0.308,0.2,0.6,1.3,3.1,3.3,5.6,0.583,1.2,2,0.603,76,45,22.2,2.3,7.8,Othello Hunter,8.5,0.5,Ohio State,1,5.5,2009,Forward,58.7,8.8,8.8
4.9,8.9,0.544,0.1,0.333,0.2,1.5,0.9,5.4,4.9,9.1,0.54,3.7,6.1,0.604,67,58,27.1,2.5,13.6,Vince Hunter,-0.23,1,UTEP,2.4,7.9,2018,Forward,54.3,24.1,8.4
1.9,3.8,0.494,0,1,0,0.7,0.6,2.2,1.9,3.8,0.495,1.2,2,0.604,126,66,20.2,1.7,5,Ryan Reid,7.66,0.5,Florida State,1.6,3.9,2012,Forward,49.6,6.3,6.3
5.4,9.6,0.565,0,0.167,0.2,1,1.8,5.8,5.4,9.7,0.558,4.3,7.1,0.604,38,37,23.5,4.1,15.1,DeMarcus Cousins,6.82,1,Kentucky,2.1,9.8,2011,Forward,56,6.5,6.5
3.4,5.7,0.598,0,0.33221216,0,0.7,1.8,3.4,3.4,5.7,0.598,0.7,1.1,0.605,35,16,18.6,2.1,7.5,Deyonta Davis,6.94,0.3,Michigan State,0.9,5.5,2017,Forward,59.8,23.9,3.3
5.1,7.7,0.659,0,0,0,1.3,1.7,5.2,5.1,7.7,0.658,3.1,5.2,0.605,70,70,26.9,2.8,13.3,Jakob Poeltl,8.1,0.5,Utah,1.8,8,2017,Forward,65.8,28.4,11
3.3,6.6,0.497,0.2,0.288,0.6,1.7,0.3,2.6,3.4,7.2,0.481,1.4,2.4,0.605,105,104,29.3,2.2,8.5,J.J. O'Brien,5.647638522,1,San Diego State,1.4,4.8,2016,Forward,48.1,15,11.8
4.5,8.7,0.516,0,0.333,0,1.1,1.1,5.6,4.5,8.8,0.515,3,4.9,0.606,133,101,29.5,2.9,12.1,Jeff Adrien,7,0.6,UConn,1.9,8.5,2011,Forward,51.6,17.3,17.3
5.8,12.2,0.476,0,0.077,0.2,1.1,1,4.2,5.8,12.4,0.469,2.2,3.7,0.607,66,64,30.3,2.1,13.9,JaKarr Sampson,6.86,0.9,St. John's (NY),1.8,6.4,2015,Forward,47,18.9,5.6
5,10.4,0.482,0,0.167,0.2,2.8,0.4,4.7,5.1,10.6,0.477,3.4,5.6,0.607,63,62,32.6,3.4,13.5,Othyus Jeffers,0.45,1.3,UIC,2.8,8.1,2010,Forward,47.8,5.9,5.9
2.1,4.5,0.47,0.3,0.242,1.4,2.8,0,1.8,2.5,6,0.415,1,1.6,0.61,63,29,20.1,0.3,6.3,Josh Gray,5.647638522,1,LSU,2,2.1,2018,Guard,42,10.9,1.6
2.4,4.9,0.492,0.5,0.319,1.5,0.8,1.4,4,2.9,6.4,0.451,1.3,2.1,0.61,135,75,25,2.2,7.5,Josh Huestis,6.38,0.5,Stanford,0.9,6.2,2016,Forward,48.9,17.6,11.6
4.7,9.2,0.512,0.3,0.268,1.1,4.9,0.5,3.6,5,10.3,0.485,3.9,6.5,0.611,100,78,31.6,1.5,14.3,Elfrid Payton,-1.6,2,Louisiana,3.4,5.1,2015,Guard,50,21.3,10.9
2.6,4.6,0.575,1.1,0.337,3.2,2.4,0.3,4.1,3.7,7.8,0.477,1.7,2.8,0.611,142,81,27.9,1.9,10.2,Chandler Parsons,5.9,0.9,Florida,1.6,6,2012,Forward,54.6,16.80326241,15.5
