2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
5.1,8.7,0.5820000000000001,1.4,0.314,4.5,4.4,0.1,4.1,6.5,13.3,0.49,4.1,5.4,0.769,68,67.0,32.5,1.0,18.5,Brandon Goodwin,5.647638522427432,1.3,Florida Gulf Coast,2.5,5.0,2019,Guard,52.3,19.9,13.3
1.8,4.0,0.43700000000000006,2.1,0.409,5.1,4.5,0.1,2.7,3.8,9.1,0.42200000000000004,2.5,3.2,0.787,142,111.0,31.7,0.4,12.3,Devonte' Graham,11.86,1.4,Kansas,1.9,3.1,2019,Guard,53.6,18.2,18.4
2.1,4.3,0.494,1.4,0.33299999999999996,4.2,1.9,0.7,3.4,3.5,8.5,0.414,1.2,1.6,0.726,114,113.0,30.2,1.4,9.6,Donte Grantham,8.32,0.9,Clemson,1.5,4.8,2019,Forward,49.6,15.4,9.4
2.8,5.7,0.486,2.3,0.41,5.6,1.1,0.1,1.5,5.0,11.2,0.44799999999999995,3.1,3.4,0.889,68,43.0,25.8,0.6,15.4,Dusty Hannahs,5.647638522427432,0.5,Arkansas,1.5,2.0,2019,Guard,53.4,16.2,8.9
2.9,6.2,0.469,1.8,0.42200000000000004,4.2,4.7,0.2,2.7,4.7,10.5,0.45,3.1,3.9,0.795,101,65.0,31.8,0.5,14.3,Aaron Holiday,7.65,1.2,UCLA,3.0,3.2,2019,Guard,53.5,17.4,9.8
2.1,3.6,0.5720000000000001,2.1,0.39399999999999996,5.4,3.0,0.7,4.2,4.2,9.0,0.466,1.5,2.0,0.748,65,65.0,31.9,0.8,12.0,Kevin Huerter,8.11,0.8,Maryland,1.9,5.0,2019,Guard,58.4,17.7,7.8
1.0,2.1,0.473,0.0,0.332212160413972,0.0,0.2,0.6,1.5,1.0,2.1,0.473,0.4,0.7,0.65,61,2.0,8.6,1.2,2.4,Isaac Humphries,9.67,0.2,Kentucky,0.4,2.7,2019,Forward,47.3,15.0,1.8
3.6,7.1,0.508,0.6,0.353,1.8,2.1,0.2,4.3,4.3,8.9,0.47600000000000003,2.9,4.2,0.687,123,89.0,24.0,1.1,12.0,Chandler Hutchison,2.57,1.0,Boise State,1.9,5.5,2019,Guard,51.2,21.2,12.3
1.8,3.8,0.47200000000000003,0.0,0.332212160413972,0.0,0.3,1.0,3.6878940731399776,1.8,3.8,0.47200000000000003,1.5,2.7,0.55,52,69.2525,27.273750000000003,1.5229508196721295,5.0,Frank Jackson,-6.08,0.2,Georgia Southern,1.88366583541147,4.3,2019,Center,47.2,0.6,0.6
2.6,5.4,0.47700000000000004,0.8,0.365,2.1,1.2,0.2,3.6878940731399776,2.9,6.4,0.444,1.2,1.7,0.7090000000000001,130,40.0,16.5,1.5229508196721295,7.5,Jaren Jackson,8.4,1.0,Georgetown,1.3,2.9,2019,Guard,52.170609756097626,0.0,0.0
2.8,4.6,0.62,0.0,0.332212160413972,0.0,0.9,0.9,3.9,2.8,4.6,0.62,1.5,2.6,0.575,150,103.0,22.3,2.4,7.2,Amile Jefferson,9.88,0.6,Duke,0.9,6.3,2019,Forward,62.0,21.2,15.3
3.9,7.5,0.523,1.2,0.325,3.8,2.4,0.3,7.9,5.2,11.3,0.457,3.3,4.6,0.716,66,66.0,30.7,3.2,14.9,Alize Johnson,0.82,0.5,Missouri State,2.3,11.1,2019,Forward,51.1,24.4,9.3
0.1,0.3,0.3,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.6,0.188,0.3,0.4,0.6920000000000001,29,1.0,4.9,0.1,0.5,B.J. Johnson,6.46,0.3,Villanova,0.3,0.4,2019,Guard,18.8,0.0,0.0
4.3,7.8,0.547,0.1,0.138,1.0,3.1,0.6,7.5,4.4,8.8,0.503,1.4,2.5,0.573,68,33.0,26.4,3.3,10.4,Jemerrio Jones,-2.46,1.1,New Mexico State,2.2,10.8,2019,Forward,51.0,23.3,8.9
2.1,4.3,0.478,1.4,0.401,3.6,0.7,0.3,3.9,3.5,7.9,0.444,1.8,2.4,0.731,127,89.0,22.6,1.4,10.2,George King,7.36,0.4,Colorado,1.5,5.4,2019,Guard,53.4,17.4,8.9
3.8,7.4,0.509,1.5,0.341,4.5,1.4,0.3,4.5,5.3,11.9,0.445,3.4,4.4,0.774,37,37.0,32.4,0.9,15.6,Kevin Knox,10.73,0.8,Kentucky,2.3,5.4,2019,Forward,51.0,17.0,4.0
3.9,7.5,0.526,2.6,0.38,6.9,1.7,0.1,3.9,6.6,14.4,0.456,4.3,5.6,0.772,33,31.0,31.9,1.1,20.1,Zach Lofton,5.647638522427432,1.1,New Mexico State,2.2,5.0,2019,Guard,48.1,19.8,11.1
1.5,3.4,0.42700000000000005,0.5,0.259,1.9,1.8,0.1,2.8,2.0,5.4,0.36700000000000005,1.5,2.2,0.6609999999999999,28,13.0,21.0,0.7,5.9,Jordan Loyd,-4.6,0.5,Furman,1.6,3.5,2019,Guard,41.3,10.8,0.9
2.3,4.6,0.5,2.1,0.405,5.2,3.1,0.1,2.3,4.4,9.9,0.45,4.1,4.7,0.871,71,51.0,28.0,0.5,15.1,Daryl Macon,9.22,1.1,Arkansas,1.8,2.8,2019,Guard,55.7,22.6,8.9
2.2,4.2,0.532,1.3,0.35200000000000004,3.7,2.1,0.2,2.1,3.5,7.8,0.44799999999999995,2.3,2.8,0.7979999999999999,141,79.0,25.0,1.1,10.6,J.P. Macura,9.72,1.2,Xavier,1.5,3.2,2019,Guard,53.0,18.3,13.2
4.7,9.5,0.493,0.5,0.40299999999999997,1.1,1.0,1.6,4.3,5.1,10.6,0.483,4.0,5.4,0.755,128,97.0,27.9,2.6,14.7,Yante Maten,9.05,0.4,Georgia,1.9,6.9,2019,Forward,50.5,24.2,15.6
4.1,8.4,0.486,0.5,0.266,1.9,4.0,0.4,3.5,4.6,10.3,0.445,4.8,6.9,0.6990000000000001,58,55.0,31.0,1.5,14.5,Tahjere McCall,5.647638522427432,2.6,Tennessee State,3.4,5.1,2019,Guard,44.4,17.2,7.9
2.2,4.4,0.51,0.6,0.284,2.1,3.5,1.0,3.3,2.8,6.4,0.43700000000000006,2.1,3.0,0.706,36,25.0,27.0,1.4,8.3,De'Anthony Melton,6.4,1.9,USC,1.8,4.7,2019,Guard,48.3,19.2,3.2
4.6,8.5,0.545,0.1,0.302,0.4,1.2,1.6,4.5,4.8,8.9,0.5329999999999999,2.7,3.9,0.6920000000000001,104,71.0,27.0,1.8,12.3,Chimezie Metu,6.78,0.7,USC,1.7,6.3,2019,Forward,54.0,21.5,10.4
1.4,3.0,0.455,1.7,0.409,4.3,1.5,0.2,1.8,3.1,7.3,0.428,0.7,1.0,0.746,136,70.0,22.6,0.7,8.7,Sviatoslav Mykhailiuk,11.86,0.7,Kansas,1.1,2.5,2019,Guard,54.8,14.9,9.6
4.3,9.4,0.45399999999999996,1.1,0.382,2.8,2.0,0.8,4.0,5.4,12.3,0.43700000000000006,5.1,6.6,0.777,61,61.0,33.0,1.8,16.9,Josh Okogie,7.84,1.5,Georgia Tech,2.3,5.8,2019,Guard,48.1,21.4,7.9
1.8,3.5,0.504,0.4,0.257,1.5,3.4,0.3,3.2,2.1,5.0,0.431,1.6,2.2,0.7340000000000001,122,58.0,21.7,1.2,6.3,Theo Pinson,11.5,0.8,UNC,1.5,4.4,2019,Forward,46.9,16.2,8.8
2.2,5.1,0.43200000000000005,1.4,0.33399999999999996,4.3,1.2,0.3,3.5,3.6,9.3,0.387,1.5,2.1,0.716,135,69.0,26.3,0.9,10.1,Cameron Reynolds,1.74,0.6,Tulane,1.2,4.5,2019,Guard,46.4,13.3,6.5
1.0,1.9,0.545,2.1,0.419,4.9,1.2,0.3,2.1,3.1,6.8,0.455,1.1,1.2,0.8640000000000001,115,49.0,24.9,0.5,9.3,Duncan Robinson,9.16,0.6,Michigan,0.7,2.5,2019,Guard-Forward,60.6,16.8,11.1
1.9,3.9,0.47700000000000004,0.8,0.375,2.3,1.8,0.6,3.6,2.7,6.2,0.44,2.1,2.8,0.741,113,68.0,25.1,0.6,8.4,Jerome Robinson,3.22,0.8,Bradley,1.5,3.2,2019,Guard,50.9,10.0,10.0
1.7,2.9,0.5660000000000001,1.0,0.324,3.1,1.0,0.2,1.8,2.7,6.0,0.442,1.6,2.2,0.745,85,40.0,20.2,0.5,7.9,Brandon Sampson,7.91,0.6,LSU,1.3,2.3,2019,Guard,52.5,14.3,3.2
4.6,9.3,0.495,1.3,0.336,4.0,3.6,0.1,2.7,5.9,13.3,0.447,5.9,7.6,0.778,33,32.0,29.9,1.0,19.2,Collin Sexton,10.64,0.8,Alabama,2.8,3.8,2019,Guard,49.8,23.5,4.4
1.9,3.6,0.542,2.2,0.43700000000000006,5.1,4.1,0.2,2.5,4.2,8.7,0.48,2.3,2.8,0.8109999999999999,71,68.0,28.6,0.5,12.9,Landry Shamet,4.22,0.8,Wichita State,1.5,3.0,2019,Guard,60.9,21.0,10.8
2.2,3.9,0.561,2.2,0.384,5.8,1.7,0.1,2.5,4.4,9.7,0.456,3.0,3.9,0.76,73,69.0,29.8,0.3,14.1,Jordan Sibert,5.647638522427432,1.3,Dayton,1.5,2.8,2019,Guard,53.8,18.1,10.5
3.7,6.4,0.574,0.5,0.45,1.1,1.8,1.1,2.8,4.2,7.5,0.556,2.5,3.4,0.7170000000000001,37,21.0,28.4,2.2,11.3,Zhaire Smith,9.6,1.1,Texas Tech,1.1,5.0,2019,Guard,58.8,23.0,5.6
2.4,4.7,0.511,1.6,0.433,3.8,0.8,1.5,5.8,4.0,8.4,0.47600000000000003,1.2,1.8,0.7,40,39.0,28.1,2.3,10.9,Omari Spellman,10.24,0.7,Villanova,1.0,8.0,2019,Forward,57.3,20.6,5.2
2.9,6.8,0.43,1.4,0.365,3.9,2.1,0.2,2.3,4.4,10.8,0.406,2.9,3.8,0.763,134,131.0,31.6,0.7,13.1,Jared Terrell,3.85,1.3,Rhode Island,1.7,3.0,2019,Guard,47.3,15.4,13.8
2.9,5.1,0.578,1.3,0.406,3.2,2.5,0.3,3.5,4.2,8.2,0.511,1.5,2.1,0.7190000000000001,102,95.0,27.2,1.1,11.2,Khyri Thomas,7.83,1.4,Creighton,1.6,4.6,2019,Guard,58.9,19.6,11.1
8.4,14.2,0.59,0.2,0.24600000000000002,0.7,2.0,1.1,3.6878940731399776,8.6,14.9,0.573,5.4,7.8,0.687,93,69.2525,33.8,1.5229508196721295,22.7,Gary Trent,0.19,0.6,Ohio,3.3,11.3,2019,Forward,57.9,16.803262411347497,10.295255474452556
3.2,5.7,0.5660000000000001,1.8,0.37799999999999995,4.9,2.4,0.2,3.3,5.1,10.6,0.479,4.7,5.7,0.8270000000000001,78,67.0,31.5,0.4,16.8,Allonzo Trier,7.23,0.5,Arizona,2.0,3.7,2019,Guard,56.6,21.5,11.8
2.1,4.8,0.433,0.0,0.0,0.1,1.0,0.8,4.6,2.1,4.9,0.426,1.7,2.7,0.632,14,0.0,17.0,3.3,5.9,Jarred Vanderbilt,10.73,0.4,Kentucky,1.1,7.9,2019,Forward,42.6,21.6,1.0
2.9,4.5,0.643,1.0,0.385,2.7,0.5,0.4,3.3,3.9,7.2,0.547,1.5,2.2,0.698,107,77.0,21.0,1.2,10.4,Moritz Wagner,9.16,0.8,Michigan,1.2,4.5,2019,Forward,61.8,23.3,10.7
