Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,year
Trae Young,Oklahoma,32,32,35.4,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,10.56,2019
Josh Akognon,Cal State Fullerton,64,64,33.6,7.2,17,0.422,3.3,6.7,0.485,3.9,10.3,0.381,3.7,4.2,0.895,0.6,2.7,3.3,1.5,1.2,0.1,2.2,2.1,22,,2013
Stephen Curry,Davidson,104,103,32.6,8.4,17.9,0.467,4.4,8.3,0.53,4,9.7,0.412,4.6,5.3,0.876,0.8,3.8,4.5,3.7,2.1,0.3,3,2.4,25.3,-1.31,2010
Lester Hudson,UT-Martin,65,64,36.5,9.3,20.4,0.456,5.8,10.8,0.53,3.5,9.5,0.372,4.4,5.2,0.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,-5.64,2010
Gary Neal,Towson,49,46,36.1,8.3,18.6,0.446,5.1,9.8,0.523,3.2,8.8,0.36,5.9,7.2,0.823,0.8,3.3,4.1,3.3,1.6,0.2,2.7,2.3,25.6,,2011
Oliver Lafayette,Houston,64,63,34.4,4.9,13.6,0.359,2.4,5.8,0.409,2.5,7.8,0.322,2.7,3.8,0.725,1.3,3.7,5.1,2.5,2.9,0.2,2,2.8,15,2.54,2010
Jamal Murray,Kentucky,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,8.84,2017
Donte Greene,Syracuse,35,35,35.8,6.2,14.9,0.418,3.7,7.4,0.492,2.6,7.5,0.345,2.7,3.8,0.707,1.7,5.5,7.2,2,1.3,1.6,2.6,2.9,17.7,7.96,2009
Cam Reddish,Duke,36,35,29.7,4.3,12,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.97,2020
R.J. Hunter,Georgia State,99,98,34.7,5.6,13.3,0.423,3.1,6.1,0.505,2.6,7.2,0.354,4.5,5.3,0.853,0.7,4.1,4.8,2.4,1.9,0.9,1.7,2.2,18.4,-2.33,2016
John Jenkins,Vanderbilt,98,74,30.6,5.3,11.2,0.468,2.1,4.1,0.521,3.1,7.1,0.438,3.3,3.8,0.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,7.59,2013
Carsen Edwards,Purdue,108,94,29.4,5.9,14.2,0.412,3.3,7.2,0.455,2.6,7.1,0.368,3.4,4.2,0.817,0.4,3,3.4,2.5,1.2,0.2,2.2,1.9,17.8,9.84,2020
Bobby Brown,Cal State Fullerton,116,103,34.2,6,13.9,0.428,3.3,6.9,0.48,2.6,7,0.377,2.3,2.9,0.789,0.5,2,2.5,4.4,1.3,0.1,3.1,2.2,16.9,-2.5,2009
Zach Lofton,New Mexico State,33,31,31.9,6.6,14.4,0.456,3.9,7.5,0.526,2.6,6.9,0.38,4.3,5.6,0.772,1.1,3.9,5,1.7,1.1,0.1,2.2,2,20.1,,2019
Torrey Craig,USC Upstate,131,124,31,5.7,13.8,0.413,3.4,6.9,0.495,2.3,6.9,0.33,2.6,3.8,0.671,2.1,5.1,7.2,1.8,1.1,0.8,2.6,2.5,16.2,-2.98,2018
Malik Monk,Kentucky,38,37,32.1,6.6,14.7,0.45,3.9,7.8,0.497,2.7,6.9,0.397,3.9,4.7,0.822,0.3,2.2,2.5,2.3,0.9,0.5,2,1.9,19.8,10.49,2018
Kentavious Caldwell-Pope,Georgia,64,60,33,5.3,12.7,0.415,3,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,7.02,2014
Mike Taylor,Iowa State,31,30,35,5.3,14.2,0.376,2.8,7.3,0.391,2.5,6.9,0.36,2.8,4.2,0.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,2.9,16,5.19,2009
Buddy Hield,Oklahoma,132,118,31.7,5.9,13.2,0.448,3.3,6.5,0.508,2.6,6.8,0.39,2.8,3.4,0.836,1.6,3.4,5,1.9,1.3,0.3,2.2,2,17.4,9.28,2017
Dionte Christmas,Temple,130,98,29.6,5,11.8,0.426,2.6,5,0.516,2.5,6.8,0.36,3.2,4.2,0.778,1,3.4,4.4,2,1.2,0.2,2.2,2.2,15.7,3.89,2014
Andrew Goudelock,College of Charleston,140,124,32.8,6.8,14.9,0.457,4,8.1,0.494,2.8,6.8,0.413,1.9,2.2,0.838,0.6,2.7,3.3,3,0.9,0.3,2.2,1.5,18.4,-2.92,2012
Marcus Thornton,LSU,66,65,32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.382,3.7,4.8,0.771,2,3.5,5.5,1.8,1.5,0.3,2,2,20.4,4.46,2010
D'Angelo Russell,Ohio State,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,7.37,2016
Coby White,UNC,35,35,28.5,5.4,12.7,0.423,3,6.1,0.5,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,2020
Damyean Dotson,Houston,64,64,32.6,5.7,11.8,0.485,3.1,5.3,0.575,2.7,6.5,0.412,1.5,1.9,0.832,1.7,5.1,6.9,1.2,0.8,0.2,1,1.8,15.6,,2018
Eric Gordon,Indiana,32,32,34.7,5.8,13.3,0.433,3.6,6.8,0.525,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,6.08,2009
O.J. Mayo,USC,33,32,36.8,7.2,16.2,0.442,4.5,9.7,0.464,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,8.59,2009
Danuel House,Texas A&M,62,57,31.6,5,12.4,0.404,2.8,6,0.469,2.2,6.4,0.344,3.1,4.5,0.686,1,3.4,4.3,2.1,0.6,0.4,1.8,1.5,15.3,,2017
Xavier Munford,Rhode Island,61,61,35.5,5.8,14.5,0.398,3.6,8.1,0.448,2.1,6.4,0.335,3.5,4.9,0.71,0.5,3,3.4,2.2,1.1,0.4,2.7,2.2,17.1,4.11,2016
Sean Kilpatrick,Cincinnati,140,104,30.8,5.1,12.1,0.419,2.8,5.6,0.501,2.2,6.4,0.347,3,3.8,0.78,1.3,3.1,4.3,2,1.2,0.2,1.7,1.3,15.3,6.15,2015
Cameron Payne,Murray State,69,69,32.4,6.3,14.6,0.432,4,8.3,0.487,2.3,6.3,0.359,3.7,4.7,0.781,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,-3.19,2016
Klay Thompson,Washington State,98,96,34.4,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.39,3.2,3.9,0.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9,6.32,2012
Jaylen Adams,St. Bonaventure,110,108,36.3,4.8,11.3,0.427,2.4,5.1,0.467,2.5,6.2,0.394,5.3,6.3,0.838,0.5,2.8,3.4,5.4,1.5,0.2,2.9,2.6,17.4,1.82,2019
RJ Barrett,Duke,38,38,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.97,2020
Jacob Pullen,Kansas State,135,115,29.5,4.8,11.9,0.408,2.6,5.7,0.459,2.2,6.1,0.361,3.9,5.1,0.77,0.5,1.9,2.4,3.4,1.6,0.1,2.6,2,15.8,7.93,2018
Malachi Richardson,Syracuse,37,37,34.4,4.1,11.1,0.369,2,5.1,0.388,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,9.75,2017
Rashad Vaughn,UNLV,23,23,32.3,6.3,14.3,0.439,3.9,8.1,0.481,2.3,6.1,0.383,3,4.3,0.694,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,3.38,2016
Langston Galloway,St. Joseph's,133,132,35.5,4.9,11.3,0.438,2.4,5.2,0.452,2.6,6.1,0.426,2.5,3.1,0.821,1,3.5,4.5,2.2,1.3,0.5,1.2,2.5,15,4.21,2015
Damian Lillard,Weber State,104,98,32.3,5.6,12.6,0.446,3.3,6.5,0.497,2.4,6.1,0.39,5,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,-2.21,2013
Brandon Knight,Kentucky,38,38,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,8.91,2012
Damion Lee,Louisville,30,30,33.6,5.1,11.8,0.428,3,5.9,0.517,2,6,0.341,3.8,4.5,0.843,0.6,3.3,3.9,2,1.5,0,1.7,2.1,15.9,,2018
Ian Clark,Belmont,133,131,28.7,5.1,10.6,0.484,2.6,4.6,0.563,2.6,6,0.425,1.6,2,0.81,0.5,2.4,2.9,2.2,1.2,0.2,2.1,2.1,14.4,-2.5,2014
Gian Clavell,Colorado State,70,39,31,5,11.9,0.418,2.9,6,0.473,2.1,5.9,0.362,3.1,4.4,0.698,0.9,4.2,5.2,1.7,1.3,0.6,1.6,2.2,15.2,1.47,2018
C.J. Wilcox,Washington,131,83,28.5,4.9,11.3,0.433,2.6,5.4,0.481,2.3,5.9,0.389,2.3,2.7,0.84,0.8,2.5,3.4,1.6,0.9,0.7,1.4,1.9,14.4,6.67,2015
James Young,Kentucky,40,39,32.4,4.6,11.3,0.407,2.5,5.4,0.47,2.1,5.9,0.349,3.1,4.4,0.706,1,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,9.89,2015
Andy Rautins,Syracuse,127,65,24.4,2.8,7.1,0.396,0.6,1.2,0.506,2.2,5.9,0.374,0.9,1.2,0.763,0.4,2.2,2.6,2.7,1.4,0.2,1.7,1.9,8.8,7.83,2011
Reggie Williams,Georgetown,138,75,29.2,5.9,12,0.49,6.1,11.4,0.532,2.3,5.9,0.386,3.1,4,0.768,,,6.4,2.4,1.5,0.5,2.3,2.7,15.3,6.58,2010
Jordan Sibert,Dayton,73,69,29.8,4.4,9.7,0.456,2.2,3.9,0.561,2.2,5.8,0.384,3,3.9,0.76,0.3,2.5,2.8,1.7,1.3,0.1,1.5,1.9,14.1,,2019
Andre Ingram,American,118,117,33.2,4.7,12.1,0.393,2.5,6.2,0.401,2.2,5.8,0.385,2.3,2.9,0.787,0.9,3.6,4.5,1.7,1,0.1,1.8,1.7,14,-5.01,2018
Derrick Jones,Samford,61,29,,3.7,8.4,0.443,1.4,2.5,0.565,2.3,5.8,0.39,1.5,2.4,0.634,0.8,3.8,4.1,2.1,0.6,0.3,2.8,1.5,11.2,,2017
Isaiah Whitehead,Seton Hall,56,52,30.5,5.1,13.6,0.375,3,7.8,0.387,2.1,5.8,0.359,3.5,4.6,0.757,0.7,3,3.7,4.5,1.3,1.1,3.4,2.3,15.8,7.92,2017
Jabari Brown,Missouri,60,59,35.2,5.1,11.4,0.444,2.8,5.6,0.499,2.3,5.8,0.391,4.9,6.2,0.794,0.5,3.5,4,1.7,0.7,0.1,2.1,1.8,17.3,,2015
Jordan Crawford,Xavier,35,34,32.8,7.4,16.1,0.462,5.2,10.3,0.501,2.3,5.8,0.391,3.4,4.4,0.773,1,3.8,4.7,2.9,1.3,0.2,2.4,1.6,20.5,,2011
Trey Johnson,Jackson State,67,66,36.4,8.4,19.6,0.431,6.3,13.8,0.455,2.2,5.8,0.375,6.3,8.4,0.746,1.5,3.2,4.7,2.4,1.2,0.1,3.2,2,25.3,,2009
Marcus Paige,UNC,141,139,32.4,4.3,10.5,0.407,2.1,4.8,0.446,2.1,5.7,0.374,2.5,3,0.848,0.4,2.4,2.8,4.3,1.4,0.2,1.9,1.7,13.3,9.72,2018
Bryce Cotton,Providence,130,99,33.2,4.7,11.2,0.421,2.7,5.5,0.482,2,5.7,0.361,3.7,4.5,0.838,0.5,2.3,2.8,3,0.9,0.1,1.5,1.2,15.2,6.35,2015
Jodie Meeks,Kentucky,81,42,27.7,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.386,3.7,4.1,0.89,0.7,2.4,3,1.6,1.1,0.1,1.8,1.6,15.4,7.77,2010
Tremont Waters,LSU,66,61,32.7,5.2,12.2,0.423,3.2,6.5,0.496,1.9,5.7,0.34,3.3,4.2,0.807,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,8.59,2020
Justin Wright-Foreman,Hofstra,125,82,28.1,6.6,13.6,0.483,4.3,7.8,0.555,2.2,5.7,0.386,3.3,4.1,0.811,0.4,2.6,2.9,2.1,0.7,0.2,1.7,1.6,18.6,-1.81,2020
Dusty Hannahs,Arkansas,68,43,25.8,5,11.2,0.448,2.8,5.7,0.486,2.3,5.6,0.41,3.1,3.4,0.889,0.6,1.5,2,1.1,0.5,0.1,1.5,1.9,15.4,,2019
John Holland,Boston University,129,108,32.5,5.6,12.9,0.434,3.6,7.4,0.493,2,5.6,0.355,4,4.9,0.807,1.7,3.9,5.6,1.2,1.6,0.3,1.9,2.5,17.1,-4.23,2018
Pierre Jackson,Baylor,74,55,32.8,5.3,11.9,0.441,3.1,6.4,0.496,2.1,5.6,0.379,4,5,0.808,0.8,2.5,3.3,6.5,1.6,0,3.5,2.3,16.7,7.58,2017
Gary Harris,Michigan State,69,67,31,5,11.4,0.44,2.9,5.7,0.503,2.1,5.6,0.376,2.7,3.5,0.788,1,2.3,3.3,2,1.6,0.3,1.6,2,14.9,9.96,2015
Allen Crabbe,California,98,97,34.7,5.4,12.2,0.446,3.3,6.6,0.5,2.1,5.6,0.382,2.7,3.3,0.819,0.9,4.8,5.7,2.2,0.9,0.6,1.9,1.7,15.7,7.16,2014
Matthew Dellavedova,Saint Mary's,136,132,36.4,4.3,10.5,0.415,2.2,4.9,0.456,2.1,5.6,0.378,3.4,4,0.86,0.8,2.6,3.4,5.6,1.1,0.1,2.5,1.9,14.2,2.06,2014
Shelvin Mack,Butler,108,107,31.2,4.8,11.4,0.419,2.8,5.8,0.48,2,5.6,0.357,2.6,3.4,0.755,0.8,3.4,4.2,3.3,1.1,0.1,2.2,1.9,14.1,4.05,2012
Xavier Silas,Northern Illinois,51,51,31.8,6.3,14.8,0.421,4.2,9.2,0.458,2,5.6,0.361,6.5,7.8,0.831,1.1,3.8,4.9,1.7,1,0.4,3.2,3,21,,2012
Kyle Guy,Virginia,106,78,29.1,4.4,10.1,0.433,2,4.5,0.444,2.4,5.6,0.425,1.3,1.6,0.806,0.4,2.6,3,1.6,0.7,0,1.1,1.1,12.5,10.05,2020
Miye Oni,Yale,87,82,31.7,5.2,12.1,0.428,3.2,6.5,0.49,2,5.6,0.356,2.7,3.5,0.777,0.8,5.4,6.2,3.3,0.9,1,2.6,2.8,15,-2.08,2020
Miles Bridges,Michigan State,62,60,31.6,6.2,13.2,0.47,4.2,7.8,0.537,2,5.5,0.375,2.5,3.2,0.776,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17,8.8,2019
Rodney Purvis,UConn,102,77,31.4,4.5,11,0.41,2.5,5.5,0.459,2,5.5,0.36,1.8,2.7,0.676,0.4,2.8,3.2,1.9,0.9,0.2,1.7,2,12.8,,2018
Chasson Randle,Stanford,144,142,33.3,5.3,12.3,0.428,3.2,6.9,0.462,2.1,5.5,0.386,3.8,4.8,0.806,0.5,2.8,3.3,2.5,1.2,0.1,2.3,2.7,16.5,6.92,2017
Isaiah Canaan,Murray State,132,83,29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,-3.56,2014
Derrick Byars,Vanderbilt,64,64,31.5,5.3,11.3,0.467,3,5.7,0.531,2.2,5.5,0.4,2.1,2.9,0.713,1.2,3,4.3,3.3,1.2,0.2,2.4,2.4,14.8,,2012
Jermaine Taylor,UCF,122,60,25.8,5.8,12.5,0.466,3.8,7,0.536,2.1,5.5,0.376,2.5,3.3,0.764,1.5,2.3,3.9,1.4,0.9,0.4,2.2,1.7,16.2,0.56,2010
Grayson Allen,Duke,142,97,27.9,4.3,9.9,0.43,2.2,4.5,0.49,2,5.4,0.38,3.5,4.2,0.834,0.5,2.6,3.2,3,1,0.1,1.7,2.1,14.1,10.27,2019
Kevin Huerter,Maryland,65,65,31.9,4.2,9,0.466,2.1,3.6,0.572,2.1,5.4,0.394,1.5,2,0.748,0.8,4.2,5,3,0.8,0.7,1.9,2.1,12,8.11,2019
Lonzo Ball,UCLA,36,36,35.1,5.3,9.5,0.551,3,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6,7.6,1.8,0.8,2.5,1.8,14.6,6.39,2018
Bryn Forbes,Michigan State,74,58,27.1,3.7,8,0.467,1.3,2.6,0.484,2.5,5.4,0.458,1.4,1.7,0.827,0.3,1.5,1.7,1.2,0.5,0.1,0.8,1.5,11.3,,2017
Brandon Ingram,Duke,36,34,34.6,5.9,13.4,0.442,3.7,8,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2,1.1,1.4,2,2.1,17.3,10.59,2017
Chris Babb,Iowa State,67,67,32.9,2.8,7.2,0.385,0.8,1.7,0.487,1.9,5.4,0.353,1,1.4,0.714,0.8,3,3.8,1.9,1.1,0.2,0.8,1.4,8.4,,2014
Jimmer Fredette,BYU,139,102,29.6,6,13.3,0.455,3.9,7.8,0.497,2.1,5.4,0.394,4.5,5.1,0.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7,3.56,2012
Marial Shayok,Iowa State,34,34,32.9,6.7,13.6,0.496,4.6,8.2,0.568,2.1,5.4,0.386,3.2,3.6,0.878,1.4,3.5,4.9,2,0.9,0.2,2.7,2.1,18.7,,2020
Ron Baker,Wichita State,124,121,30.6,4.2,9.7,0.433,2.3,4.4,0.509,2,5.3,0.369,2.8,3.5,0.801,0.8,3.4,4.2,2.8,1.3,0.6,1.4,1.7,13.2,3.94,2017
Malcolm Delaney,Virginia Tech,136,125,34.5,4.7,11.7,0.401,2.7,6.3,0.432,1.9,5.3,0.363,5.3,6.3,0.845,0.8,2.7,3.5,4,1.3,0.2,2.8,2.7,16.6,6.21,2017
Brian Roberts,Dayton,125,94,31.2,5.2,11.5,0.452,2.9,6.2,0.462,2.3,5.3,0.441,2.9,3.4,0.849,0.3,2.6,3,2.8,0.5,0.1,2.2,1.6,15.7,2.11,2013
Daryl Macon,Arkansas,71,51,28,4.4,9.9,0.45,2.3,4.6,0.5,2.1,5.2,0.405,4.1,4.7,0.871,0.5,2.3,2.8,3.1,1.1,0.1,1.8,1.8,15.1,9.22,2019
Alec Peters,Valparaiso,134,134,31.7,5.9,12.1,0.487,3.7,6.9,0.539,2.2,5.2,0.416,3.6,4.2,0.846,2,5.5,7.4,1.5,0.8,0.3,1.9,2.1,17.5,-0.95,2018
Patrick McCaw,UNLV,65,48,31.7,4.2,9.6,0.439,2.3,4.3,0.527,1.9,5.2,0.367,1.9,2.5,0.753,0.9,3.3,4.2,3.3,2,0.4,1.9,1.9,12.2,3.28,2017
Nik Stauskas,Michigan,75,69,32.9,4.3,9.2,0.467,2,4,0.5,2.3,5.2,0.441,3.2,3.9,0.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1,14.1,9.85,2015
Troy Daniels,VCU,125,57,16.9,2.4,6.1,0.389,0.4,0.9,0.404,2,5.2,0.386,0.5,0.7,0.782,0.5,1.6,2.1,0.4,0.6,0.1,0.6,1.3,7.3,2.38,2014
CJ McCollum,Lehigh,111,108,32.9,6.9,15.7,0.439,5,10.5,0.47,2,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,-5.41,2014
Patrick Beverley,Arkansas,70,67,34.1,4.1,9.7,0.42,2.1,4.6,0.463,2,5.2,0.382,2.8,3.9,0.73,1.2,4.4,5.5,2.8,1.5,0.4,2,2.3,13,7.74,2013
Ben Hansbrough,Notre Dame,69,69,35.4,4.7,10,0.469,2.4,4.7,0.517,2.2,5.2,0.425,3.5,4.5,0.78,0.8,3.1,3.9,4.3,1.1,0.1,2.1,2.5,15.1,,2013
Darius Johnson-Odom,Marquette,105,90,30.8,5.3,12,0.444,3.2,6.7,0.476,2.1,5.2,0.403,3,4.1,0.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,8.08,2013
Dominique Jones,South Florida,95,94,36.5,6.2,14.1,0.442,4.5,8.9,0.512,1.7,5.2,0.323,4.8,6.5,0.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,7.32,2011
Devonte' Graham,Kansas,142,111,31.7,3.8,9.1,0.422,1.8,4,0.437,2.1,5.1,0.409,2.5,3.2,0.787,0.4,2.7,3.1,4.5,1.4,0.1,1.9,1.7,12.3,11.86,2019
Landry Shamet,Wichita State,71,68,28.6,4.2,8.7,0.48,1.9,3.6,0.542,2.2,5.1,0.437,2.3,2.8,0.811,0.5,2.5,3,4.1,0.8,0.2,1.5,2.1,12.9,4.22,2019
Ryan Arcidiacono,Villanova,144,142,31.9,3.4,8.5,0.397,1.6,3.5,0.453,1.8,5.1,0.358,2.6,3.2,0.8,0.3,2,2.3,3.7,1.2,0,1.8,2,11.1,8.32,2018
Luke Kennard,Duke,73,47,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2,5.1,0.383,3.4,3.9,0.867,1.1,3.3,4.3,2,0.9,0.3,1.2,2.1,15.7,10.75,2018
P.J. Hairston,UNC,71,14,18.1,3.1,8,0.388,1.3,2.9,0.458,1.8,5.1,0.349,2,2.5,0.8,1.3,1.9,3.2,1,0.8,0.3,0.9,1.7,10,7.54,2015
Greivis Vasquez,Maryland,136,123,33.6,5.5,13,0.425,3.8,7.9,0.487,1.7,5.1,0.329,3.2,3.9,0.828,1,3.8,4.8,5.7,1.4,0.3,3.3,2.2,16,7.95,2011
Tyler Dorsey,Oregon,75,74,30,4.6,10,0.455,2.5,5.1,0.493,2.1,5,0.416,2.9,3.9,0.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1,8.51,2018
Markelle Fultz,Washington,25,25,35.7,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,6.82,2018
Jonathan Gibson,New Mexico State,131,96,24.5,4,9.3,0.436,2.1,4.3,0.48,2,5,0.398,1.7,2.2,0.758,0.4,1.6,1.9,1.8,1,0,1.6,1.9,11.8,0.16,2017
Pat Connaughton,Notre Dame,139,123,32.3,3.7,8.2,0.45,1.8,3.2,0.549,1.9,5,0.386,1.2,1.5,0.777,1,4.9,5.9,1.8,0.7,0.5,1,1.7,10.5,6.88,2016
Trey Burke,Michigan,73,71,35.7,6,13.3,0.45,4.2,8.3,0.499,1.8,5,0.367,3.1,4,0.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9,9.51,2014
Seth Curry,Duke,106,86,29.1,4.1,9.4,0.439,2,4.4,0.462,2.1,5,0.42,2.8,3.3,0.825,0.6,1.7,2.3,2,1.2,0.2,1.4,1.8,13.2,,2014
Bradley Beal,Florida,37,37,34.2,4.7,10.6,0.445,3,5.6,0.541,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,7.33,2013
Kyle Singler,Duke,148,147,33,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5,0.363,3.4,4.3,0.773,2.4,4.4,6.9,2,1.1,0.7,2.1,2.6,16.2,8.97,2013
Chase Budinger,Arizona,100,100,35.4,6,12.8,0.469,4.1,7.8,0.524,1.9,5,0.383,3.1,4,0.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,1.8,17,9.93,2010
Wayne Ellington,UNC,115,112,28.5,5.4,11.6,0.463,3.4,6.6,0.513,2,5,0.397,2,2.5,0.809,1.1,3,4.1,2.2,0.9,0.1,1.5,1.5,14.7,8.59,2010
Anthony Morrow,Georgia Tech,123,70,23.6,3.8,8.8,0.437,1.7,3.8,0.458,2.1,5,0.421,1.6,1.8,0.867,1.2,2,3.3,1,0.8,0.2,1.1,2,11.4,8.6,2009
Sean Singletary,Virginia,123,123,32.8,5.2,12.9,0.406,3.4,7.9,0.433,1.8,5,0.362,4.7,5.5,0.846,1,3,4,4.8,1.6,0.1,3.3,2.7,16.9,7.98,2009
Duncan Robinson,Michigan,115,49,24.9,3.1,6.8,0.455,1,1.9,0.545,2.1,4.9,0.419,1.1,1.2,0.864,0.5,2.1,2.5,1.2,0.6,0.3,0.7,2.2,9.3,9.16,2019
Allonzo Trier,Arizona,78,67,31.5,5.1,10.6,0.479,3.2,5.7,0.566,1.8,4.9,0.378,4.7,5.7,0.827,0.4,3.3,3.7,2.4,0.5,0.2,2,1.8,16.8,7.23,2019
Semi Ojeleye,SMU,35,35,34.1,6,12.3,0.487,3.9,7.4,0.529,2.1,4.9,0.424,4.9,6.3,0.785,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19,,2018
Paul George,Fresno State,63,63,33.9,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.396,3.4,4.2,0.803,1.9,4.8,6.7,2.4,2,0.9,2.7,2.8,15.5,1.13,2011
Willie Warren,Oklahoma,57,53,31.7,4.9,10.6,0.459,3.2,5.8,0.55,1.7,4.9,0.35,3.8,4.8,0.788,0.6,2.1,2.6,3.5,1.1,0.1,2.8,2.3,15.2,7.33,2011
Demetrius Jackson,Pacific,57,50,29.1,4.2,10.4,0.402,2.5,5.6,0.447,1.7,4.8,0.348,3.3,4,0.837,0.4,2.4,2.8,3.3,1.1,0.1,3.4,2.6,13.4,-1.12,2017
Kyle Wiltjer,Gonzaga,74,73,30.5,6.8,13.2,0.514,4.6,8.4,0.55,2.1,4.8,0.449,2.9,3.5,0.828,1.5,4.7,6.3,1.7,0.4,0.7,1.6,1.7,18.6,,2017
Rodney Hood,Duke,35,33,32.9,5.5,11.8,0.464,3.4,6.9,0.494,2,4.8,0.42,3.1,3.9,0.807,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6,16.1,,2015
Shabazz Napier,UConn,143,98,32.3,4.2,10.1,0.411,2.3,5.3,0.444,1.8,4.8,0.375,3.6,4.4,0.813,0.7,3.3,4,4.5,1.8,0.2,2.4,2.1,13.7,8.64,2015
Nick Calathes,Florida,72,71,33,5.3,11.6,0.455,3.5,6.8,0.507,1.8,4.8,0.38,3.9,5.4,0.715,1,4.3,5.3,6.3,1.8,0.1,3.1,2,16.3,4.43,2014
Chris Smith,UConn,127,67,33.6,5.7,13.6,0.421,3.8,8.9,0.432,1.9,4.8,0.4,3.5,4.6,0.761,,,2.9,3.4,1.5,0.3,2.3,2.2,16.9,7.54,2014
Orlando Johnson,UCSB,93,92,33,6.5,13.9,0.468,4.5,9.1,0.498,2,4.8,0.411,4.7,6.3,0.736,1.7,4.1,5.8,2.7,1,0.6,2.6,2.1,19.6,,2013
Isaiah Thomas,Washington,105,104,30.4,5.3,12.4,0.426,3.7,7.6,0.49,1.6,4.8,0.325,4.3,6,0.713,0.7,2.8,3.5,4,1.2,0.1,2.7,2,16.4,7.81,2012
