Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,year
Eric Moreland,Oregon State,89,58,25,2.7,5,0.535,2.6,4.7,0.546,0.1,0.3,0.333,1.8,3.3,0.531,2.4,6.2,8.6,1.3,0.8,2.1,1.8,2.4,7.2,4.64,2015
Johnny O'Bryant,LSU,91,78,27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0.222,2.8,4.6,0.619,3,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,5.38,2015
Josh Harrellson,Kentucky,94,40,15.8,2,3.6,0.549,1.9,3.3,0.571,0.1,0.3,0.31,0.6,1,0.649,1.9,2.8,4.7,0.4,0.5,0.9,0.6,1.4,4.7,6.85,2012
Tyler Hansbrough,UNC,142,141,30.9,6.6,12.3,0.536,6.5,12.1,0.541,0.1,0.3,0.316,6.9,8.7,0.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,8.39,2010
Walter Sharpe,Alabama-Birmingham,12,10,24.9,5.7,10.8,0.523,5.7,10.6,0.535,0,0.3,0,2.8,5.4,0.523,1.8,5,6.8,1.7,1.2,1.8,2.8,3,14.2,,2009
Troy Brown,Providence,118,,14.4,2.3,4.8,0.48,2.2,4.6,0.478,0.1,0.2,0.522,1.3,1.8,0.688,,,4.2,0.3,0.3,0.5,,0.7,5.9,7.58,2019
B.J. Johnson,Villanova,29,1,4.9,0.1,0.6,0.188,0.1,0.3,0.3,0,0.2,0,0.3,0.4,0.692,0.1,0.2,0.4,0.1,0.3,0,0.3,0.6,0.5,6.46,2019
Jarrett Allen,Texas,33,33,32.2,5.4,9.6,0.566,5.4,9.4,0.579,0,0.2,0,2.5,4.5,0.564,3,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75,2018
Jordan Bell,Oregon,105,62,24.7,3.3,5.4,0.61,3.3,5.2,0.622,0,0.2,0.188,1.2,1.8,0.63,2.1,4.7,6.8,1.5,1.1,2.2,1.5,2.3,7.8,8.23,2018
Vince Hunter,UTEP,67,58,27.1,4.9,9.1,0.54,4.9,8.9,0.544,0.1,0.2,0.333,3.7,6.1,0.604,2.5,5.4,7.9,1.5,1,0.9,2.4,3.1,13.6,-0.23,2018
Jacob Wiley,Eastern Washington,34,34,34.3,7.8,12.1,0.643,7.6,11.9,0.642,0.1,0.2,0.714,4.7,5.6,0.828,2.8,6.3,9.1,2.4,0.8,2.8,3.8,3,20.4,,2018
Joel Embiid,Kansas,28,20,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,2017
A.J. Hammons,Purdue,132,95,24.3,4.6,8.6,0.539,4.6,8.4,0.544,0,0.2,0.261,2.7,4,0.69,2.4,4.7,7,0.8,0.4,2.6,2.1,2.5,12.1,7.64,2017
Domantas Sabonis,Gonzaga,74,32,26.6,5.2,8.2,0.632,5.1,8,0.638,0.1,0.2,0.357,3.1,4.2,0.729,2.6,6.8,9.4,1.3,0.5,0.6,2,3,13.5,4.67,2017
Jordan Mickey,LSU,65,65,33.8,5.6,10.8,0.518,5.6,10.6,0.527,0,0.2,0.071,2.9,4.3,0.669,2.7,6.1,8.8,1.2,0.8,3.4,2.8,2.4,14,6.12,2016
Karl-Anthony Towns,Kentucky,39,39,21.1,3.7,6.6,0.566,3.7,6.4,0.577,0.1,0.2,0.25,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,8.67,2016
Tyler Johnson,Centenary (LA),5,,,0.2,0.6,0.333,0,0.4,0,0.2,0.2,1,0,0,,,,0.6,0.2,0.2,0,0,,0.6,-1.56,2015
JaKarr Sampson,St. John's (NY),66,64,30.3,5.8,12.4,0.469,5.8,12.2,0.476,0,0.2,0.077,2.2,3.7,0.607,2.1,4.2,6.4,1.1,0.9,1,1.8,2.8,13.9,6.86,2015
Reggie Bullock,Morgan State,46,,,1.1,2.7,0.426,1.1,2.4,0.455,0,0.2,0.1,0.5,1,0.522,,,2,0.4,0.6,0.1,,0.5,2.8,-9.3,2014
Alex Len,Maryland,60,48,24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0.111,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.32,2014
John Henson,UNC,109,82,23.8,4.4,8.8,0.497,4.3,8.5,0.505,0,0.2,0.208,1.6,3.2,0.484,2.5,5.7,8.1,1,0.6,2.5,1.5,1.5,10.3,9.01,2013
Meyers Leonard,Illinois,65,30,19.8,3,5.4,0.567,3,5.2,0.585,0,0.2,0.083,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,9.55,2013
Keith Benson,Oakland,135,126,26.8,5.1,9.1,0.558,5,8.9,0.562,0.1,0.2,0.379,3.9,5.7,0.679,2.5,5.7,8.2,0.7,0.5,2.7,1.4,2.8,14.1,-1.32,2012
