year,id,Age,G,FG%,3P%,FT%,PS/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G
2018,blakean01,21,76,0.406,0.35700000000000004,0.696,7.5,1.8,0.8,0.25,0.13157894736842105,0.6052631578947368
2018,bogdabo01,25,148,0.431,0.375,0.833,12.9,3.1,3.5,0.972972972972973,0.20945945945945946,1.635135135135135
2018,bouchch01,25,29,0.442,0.316,0.867,3.2,2.0,0.1,0.20689655172413793,0.8275862068965517,0.2413793103448276
2018,bradlto01,20,12,0.40700000000000003,0.0,0.75,2.1,2.2,0.2,0.16666666666666666,0.16666666666666666,0.25
2018,brookdi01,22,100,0.435,0.359,0.745,10.3,2.9,1.5,0.83,0.21,1.43
2018,brownst02,22,112,0.439,0.35700000000000004,0.758,5.3,2.9,1.0,0.5,0.1875,0.6339285714285714
2018,bryanth01,20,87,0.606,0.312,0.767,9.0,5.4,1.1,0.2988505747126437,0.7931034482758621,0.7126436781609196
2018,carusal01,23,62,0.439,0.39799999999999996,0.7659999999999999,5.9,2.1,2.5,0.7580645161290323,0.3064516129032258,1.3548387096774193
2018,cavanty01,23,50,0.43200000000000005,0.35100000000000003,0.826,3.8,2.7,0.6,0.18,0.08,0.3
2018,clavegi01,24,7,0.33299999999999996,0.4,1.0,2.9,1.0,0.4,0.2857142857142857,0.0,0.2857142857142857
2018,clevean01,23,17,0.381,0.75,0.667,1.4,0.8,0.1,0.4117647058823529,0.29411764705882354,0.4117647058823529
2018,collijo01,20,135,0.5660000000000001,0.34600000000000003,0.743,14.6,8.4,1.6,0.5111111111111111,0.8814814814814815,1.6666666666666667
2018,colliza01,20,143,0.441,0.321,0.72,5.6,3.8,0.9,0.2937062937062937,0.6783216783216783,0.9440559440559441
2018,colliky01,26,32,0.384,0.235,0.525,3.2,3.3,1.8,0.53125,0.28125,0.75
2018,cookech01,23,13,0.14300000000000002,0.125,0.5,0.5,0.2,0.1,0.07692307692307693,0.0,0.07692307692307693
2018,costema01,24,4,0.5,0.4242836158192093,0.4242836158192093,1.0,2.3,0.5,0.5,0.5,0.25
2018,craigto01,27,114,0.445,0.317,0.6759999999999999,5.2,3.4,0.9,0.4298245614035088,0.5350877192982456,0.5614035087719298
2018,dorsety01,21,104,0.389,0.35,0.669,6.7,2.3,1.3,0.2980769230769231,0.0673076923076923,0.6153846153846154
2018,dotsoda01,23,117,0.42100000000000004,0.361,0.736,8.2,3.0,1.4,0.5982905982905983,0.10256410256410256,0.7521367521367521
2018,doylemi01,24,10,0.27699999999999997,0.174,0.5,3.4,1.8,1.0,0.6,0.2,0.2
2018,doziepj01,21,8,0.391,0.25,0.5,2.6,2.3,0.6,0.25,0.0,0.125
2018,evansja01,21,56,0.345,0.263,0.7759999999999999,4.2,1.7,2.0,0.6964285714285714,0.10714285714285714,0.8928571428571429
2018,fergute01,19,135,0.425,0.35600000000000004,0.754,5.2,1.4,0.7,0.4740740740740741,0.1925925925925926,0.42962962962962964
2018,foxde01,20,154,0.439,0.345,0.725,14.6,3.3,5.9,1.3181818181818181,0.42207792207792205,2.5974025974025974
2018,fultzma01,19,33,0.414,0.267,0.534,7.7,3.4,3.4,0.8787878787878788,0.2727272727272727,1.2727272727272727
2018,grayjo01,24,5,0.268,0.231,0.636,6.4,2.0,2.4,1.6,0.4,1.4
2018,hamilda02,22,25,0.39399999999999996,0.35700000000000004,0.5,2.8,2.1,1.2,0.28,0.04,0.72
2018,harrish01,24,96,0.442,0.261,0.6829999999999999,6.5,2.9,2.0,1.1979166666666667,0.3854166666666667,0.8541666666666666
2018,hartjo01,22,130,0.435,0.361,0.695,7.9,3.9,1.3,0.8538461538461538,0.4307692307692308,0.8076923076923077
2018,hayesni01,23,9,0.33299999999999996,0.25,0.33299999999999996,3.0,2.4,0.7,0.2222222222222222,0.3333333333333333,0.2222222222222222
2018,hearnre01,26,3,0.5,0.5,0.4242836158192093,1.0,0.0,0.0,0.0,0.0,0.0
2018,henrymy01,25,20,0.376,0.32799999999999996,0.6,5.4,1.9,1.1,1.55,0.3,0.95
2018,hicksis01,23,21,0.46299999999999997,0.222,0.696,4.4,2.3,0.9,0.14285714285714285,0.3333333333333333,0.8095238095238095
2018,hollajo02,29,25,0.28800000000000003,0.306,0.6920000000000001,2.2,1.0,0.2,0.28,0.08,0.32
2018,huntevi01,23,4,0.6,0.4242836158192093,0.4242836158192093,1.5,0.8,0.0,0.0,0.25,0.25
2018,ingraan01,32,6,0.348,0.41700000000000004,1.0,4.0,1.3,1.2,0.6666666666666666,0.5,0.6666666666666666
2018,isaacjo01,20,102,0.419,0.327,0.8059999999999999,8.5,5.0,1.0,0.9019607843137255,1.2549019607843137,1.0
2018,iwundwe01,23,130,0.419,0.304,0.787,4.4,2.5,1.0,0.46923076923076923,0.26153846153846155,0.5692307692307692
2018,jacksaa01,31,1,0.33299999999999996,0.25,0.5,8.0,3.0,1.0,0.0,0.0,1.0
2018,jacksjo02,20,156,0.415,0.294,0.65,12.3,4.5,1.9,0.9871794871794872,0.5833333333333334,2.0448717948717947
2018,jacksju01,22,149,0.445,0.335,0.765,7.0,2.7,1.1,0.40268456375838924,0.18120805369127516,0.46308724832214765
2018,jamesmi02,27,36,0.38299999999999995,0.265,0.762,9.3,2.5,3.5,0.7777777777777778,0.19444444444444445,1.3611111111111112
2018,johnsda04,22,31,0.564,0.4242836158192093,0.55,1.8,1.1,0.3,0.1935483870967742,0.25806451612903225,0.0967741935483871
2018,johnsom01,28,4,0.429,0.33299999999999996,0.4242836158192093,5.5,2.8,1.8,0.5,0.0,0.75
2018,jonesja04,24,32,0.4,0.37,0.674,4.8,2.3,0.3,0.4375,0.09375,0.46875
2018,kennalu01,21,136,0.441,0.40299999999999997,0.847,8.6,2.6,1.8,0.5147058823529411,0.16911764705882354,0.9264705882352942
2018,klebima01,26,143,0.469,0.33799999999999997,0.767,6.1,3.9,0.8,0.43356643356643354,0.8741258741258742,0.5874125874125874
2018,korkmfu01,20,62,0.38799999999999996,0.32299999999999995,0.792,4.9,1.9,0.9,0.5,0.04838709677419355,0.43548387096774194
