Player,School,G,FGP,3P%,FTP,TRB,AST,STL,BLK,TOV,PTS
Georges Niang,Iowa State,138,.500,.375,.763,5.2,3.1,0.7,0.5,2.3,16.1
David Nwaba,Cal Poly,88,.473,.167,.650,5.3,2.0,1.1,0.6,1.6,11.9
Daniel Ochefu,Villanova,141,.600,.000,.622,6.6,1.3,0.8,1.3,1.6,7.2
Chinanu Onuaku,Louisville,66,.619,.000,.547,6.4,1.1,0.8,1.6,1.7,6.2
Gary Payton,Oregon State,120,.485,.369,.684,4.0,7.8,2.7,0.5,3.3,18.1
Marshall Plumlee,Duke,124,.665,1.000,.555,3.8,0.5,0.4,0.8,0.5,3.4
Jakob Poeltl,Utah,70,.658,.000,.605,8.0,1.3,0.5,1.7,1.8,13.3
Alex Poythress,Kentucky,112,.551,.302,.686,5.3,0.5,0.4,0.7,1.3,8.6
Tim Quarterman,LSU,99,.397,.310,.660,3.9,3.1,1.0,0.4,1.7,8.4
Chasson Randle,Stanford,144,.428,.386,.806,3.3,2.5,1.2,0.1,2.3,16.5
Malachi Richardson,Syracuse,37,.369,.353,.720,4.3,2.1,1.1,0.3,2.1,13.4
Domantas Sabonis,Gonzaga,74,.632,.357,.729,9.4,1.3,0.5,0.6,2.0,13.5
Wayne Selden,Kansas,109,.436,.366,.632,3.0,2.6,0.7,0.4,1.9,11.0
Pascal Siakam,New Mexico State,68,.551,.176,.711,9.7,1.5,0.9,2.0,1.9,16.6
Diamond Stone,Maryland,35,.568,,.761,5.4,0.4,0.5,1.6,1.5,12.5
Isaiah Taylor,Texas,92,.404,.294,.792,3.1,4.5,1.0,0.1,2.3,13.6
Mike Tobey,Virginia,138,.531,.316,.704,4.0,0.4,0.2,0.7,0.8,6.8
Tyler Ulis,Kentucky,72,.427,.371,.846,2.4,5.3,1.2,0.1,1.5,11.3
Jarrod Uthoff,Iowa,100,.450,.383,.795,5.8,1.2,0.8,1.8,1.0,13.0
Denzel Valentine,Michigan State,144,.442,.408,.779,5.9,4.4,0.9,0.3,2.2,11.4
Okaro White,Florida State,139,.494,.327,.799,5.1,0.7,0.7,0.8,1.6,10.1
Isaiah Whitehead,Seton Hall,56,.375,.359,.757,3.7,4.5,1.3,1.1,3.4,15.8
Troy Williams,Centenary (LA),37,.618,,.733,1.9,0.1,0.2,0.3,,1.4
Kyle Wiltjer,Gonzaga,74,.514,.449,.828,6.3,1.7,0.4,0.7,1.6,18.6
Cliff Alexander,Kansas,28,.566,,.671,5.3,0.4,0.2,1.3,1.0,7.1
Justin Anderson,Virginia,98,.430,.357,.752,3.5,1.8,0.6,0.9,1.3,8.9
Keith Appling,Michigan State,142,.431,.334,.748,3.0,3.3,1.1,0.5,2.1,10.6
Devin Booker,Clemson,128,.496,.275,.658,5.7,0.8,0.6,0.6,1.6,9.0
Anthony Brown,Oklahoma State,47,.482,.143,.569,2.3,0.3,0.3,0.4,0.4,3.0
Willie Cauley-Stein,Kentucky,105,.593,,.508,6.2,0.9,1.1,2.2,1.2,8.0
Rakeem Christmas,Syracuse,142,.560,.000,.681,5.3,0.6,0.5,1.7,1.1,7.4
Coty Clarke,Arkansas,65,.469,.442,.777,5.4,1.8,1.5,0.6,1.3,8.6
Pat Connaughton,Notre Dame,139,.450,.386,.777,5.9,1.8,0.7,0.5,1.0,10.5
Branden Dawson,Michigan State,130,.559,.000,.558,6.9,1.4,1.3,1.1,1.7,10.1
Sam Dekker,Wisconsin,113,.493,.348,.695,5.0,1.3,0.6,0.5,1.0,12.1
Duje Dukan,Wisconsin,97,.427,.328,.656,1.7,0.4,0.1,0.0,0.4,3.1
Jarell Eddie,Virginia Tech,123,.385,.365,.812,4.6,1.1,0.3,0.5,1.5,9.6
Jerian Grant,Notre Dame,119,.436,.345,.790,2.9,5.8,1.5,0.3,2.2,14.6
Montrezl Harrell,Louisville,112,.586,.275,.533,6.9,0.9,0.8,1.1,1.3,11.6
Aaron Harrison,Kentucky,79,.410,.335,.787,2.8,1.6,1.1,0.2,1.3,12.4
Darrun Hilliard,Villanova,132,.436,.367,.748,3.0,1.9,1.3,0.4,1.6,11.4
Rondae Hollis-Jefferson,Arizona,76,.496,.205,.697,6.3,1.5,0.9,0.9,1.4,10.2
Richaun Holmes,Bowling Green State,95,.554,.353,.697,6.9,0.7,0.8,2.6,1.5,11.5
Josh Huestis,Stanford,135,.451,.319,.610,6.2,0.8,0.5,1.4,0.9,7.5
R.J. Hunter,Georgia State,99,.423,.354,.853,4.8,2.4,1.9,0.9,1.7,18.4
Stanley Johnson,Arizona,38,.446,.371,.742,6.5,1.7,1.5,0.4,2.2,13.8
Tyus Jones,Duke,39,.417,.379,.889,3.5,5.6,1.5,0.1,1.9,11.8
Frank Kaminsky,Wisconsin,144,.522,.369,.763,4.6,1.3,0.5,1.1,0.8,10.1
