,Player,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFGP,PER,WS
92,Marvin Bagley,Forward,13.1,1.7,3.8,.452,0.8,2.1,.383,0.9,1.7,.383,0.4,0.4,.875,0.3,1.7,2.0,1.2,0.5,0.1,1.0,1.5,4.6,0,0,0
93,Maxi Kleber,Forward,25.5,3.8,8.4,.457,0.9,2.6,.333,3.0,5.8,.333,2.9,3.5,.812,1.9,4.5,6.5,0.8,0.9,0.9,1.5,3.0,11.5,0,0,0
94,Milos Teodosic,Guard,22.5,2.6,5.7,.463,1.4,3.4,.417,1.2,2.4,.417,1.3,1.6,.803,0.4,1.8,2.2,3.6,0.8,0.1,2.0,2.5,7.9,0,0,0
95,Mindaugas Kuzminskas,Forward,17.6,3.1,6.5,.469,0.8,2.5,.312,2.3,4.0,.312,1.7,2.1,.802,1.2,1.7,3.0,0.9,0.4,0.3,1.1,1.6,8.6,0,0,0
96,Miroslav Raduljica,Center,17.6,3.1,6.5,.469,0.8,2.5,.312,2.3,4.0,.312,1.7,2.1,.802,1.2,1.7,3.0,0.9,0.4,0.3,1.1,1.6,8.6,0,0,0
97,Mirza Teletovic,Forward,26.7,4.5,9.7,.461,2.1,5.5,.389,2.3,4.2,.389,1.2,1.5,.751,1.1,3.2,4.3,0.8,0.5,0.4,1.2,2.4,12.2,0,0,0
98,Mitch Creek,Forward,26.7,4.5,9.7,.461,2.1,5.5,.389,2.3,4.2,.389,1.2,1.5,.751,1.1,3.2,4.3,0.8,0.5,0.4,1.2,2.4,12.2,0,0,0
99,Mitchell Robinson,Forward,26.7,4.5,9.7,.461,2.1,5.5,.389,2.3,4.2,.389,1.2,1.5,.751,1.1,3.2,4.3,0.8,0.5,0.4,1.2,2.4,12.2,0,0,0
100,Nando De Colo,Guard,25.7,4.4,9.6,.457,1.4,3.8,.361,3.0,5.8,.361,2.4,2.7,.884,0.6,2.3,2.9,2.7,1.3,0.1,2.4,2.5,12.6,0,0,0
101,Nathan Jawai,Center,25.7,4.4,9.6,.457,1.4,3.8,.361,3.0,5.8,.361,2.4,2.7,.884,0.6,2.3,2.9,2.7,1.3,0.1,2.4,2.5,12.6,0,0,0
102,Naz Mitrou-Long,Center,25.7,4.4,9.6,.457,1.4,3.8,.361,3.0,5.8,.361,2.4,2.7,.884,0.6,2.3,2.9,2.7,1.3,0.1,2.4,2.5,12.6,0,0,0
103,Nemanja Bjelica,Forward,18.2,2.4,5.5,.437,1.0,2.8,.351,1.4,2.7,.351,0.8,1.1,.674,1.2,2.8,4.0,0.8,0.5,0.2,1.0,2.6,6.6,0,0,0
104,Nemanja Nedovic,Guard,19.2,3.9,8.6,.450,1.7,4.5,.380,2.2,4.1,.380,2.2,2.7,.810,0.2,1.3,1.5,3.0,0.7,0.1,1.7,1.8,11.6,0,0,0
105,Nicolas Batum,Forward,23.2,3.5,6.8,.511,0.8,2.4,.333,2.7,4.4,.333,1.6,2.1,.735,1.2,2.8,4.1,2.5,1.0,0.6,1.8,1.6,9.3,0,0,0
106,Nicolas Brussino,Forward,16.8,2.1,5.3,.391,1.1,3.0,.371,0.9,2.2,.371,0.9,1.1,.857,0.5,1.7,2.2,1.0,0.8,0.2,0.8,2.3,6.2,0,0,0
107,Nicolas Laprovittola,Guard,27.6,4.6,10.7,.434,2.0,5.4,.368,2.7,5.3,.368,2.9,3.7,.798,0.5,2.0,2.5,5.5,1.2,0.0,3.5,3.0,14.2,0,0,0
108,Nikola Jokic,Guard,27.6,4.6,10.7,.434,2.0,5.4,.368,2.7,5.3,.368,2.9,3.7,.798,0.5,2.0,2.5,5.5,1.2,0.0,3.5,3.0,14.2,0,0,0
109,Nikola Mirotic,Forward,20.8,3.6,7.1,.505,0.9,2.3,.393,2.7,4.9,.393,2.4,3.0,.780,1.5,3.3,4.8,0.8,0.8,0.5,1.0,1.5,10.5,0,0,0
110,Nikola Pekovic,Center,16.2,4.2,5.9,.712,0.0,0.0,0,4.2,5.9,0,3.6,4.9,.722,1.5,2.0,3.5,0.6,0.3,0.5,1.6,2.6,11.9,0,0,0
111,Nikola Vucevic,Center,16.2,4.2,5.9,.712,0.0,0.0,0,4.2,5.9,0,3.6,4.9,.722,1.5,2.0,3.5,0.6,0.3,0.5,1.6,2.6,11.9,0,0,0
112,Ognjen Kuzmic,Center,14.1,2.2,4.1,.539,0.0,0.0,0,2.2,4.1,0,0.9,1.4,.679,1.6,2.8,4.4,0.5,0.5,0.4,0.9,1.9,5.3,0,0,0
113,Omer Asik,Center,14.1,2.2,4.1,.539,0.0,0.0,0,2.2,4.1,0,0.9,1.4,.679,1.6,2.8,4.4,0.5,0.5,0.4,0.9,1.9,5.3,0,0,0
114,Omri Casspi,Forward,14.1,2.2,4.1,.539,0.0,0.0,0,2.2,4.1,0,0.9,1.4,.679,1.6,2.8,4.4,0.5,0.5,0.4,0.9,1.9,5.3,0,0,0
115,Pablo Prigioni,Guard,23.1,2.2,5.0,.435,1.1,3.1,.363,1.0,1.8,.363,1.3,1.5,.842,0.5,1.7,2.3,3.7,1.7,0.0,1.5,2.0,6.7,0,0,0
116,Pape Sy,Guard,22.5,2.8,6.1,.466,0.7,2.2,.336,2.1,3.9,.336,2.3,3.0,.772,0.7,2.4,3.1,1.4,0.7,0.1,1.3,1.9,8.7,0,0,0
117,Patrick Ewing,Guard,22.5,2.8,6.1,.466,0.7,2.2,.336,2.1,3.9,.336,2.3,3.0,.772,0.7,2.4,3.1,1.4,0.7,0.1,1.3,1.9,8.7,0,0,0
118,Patty Mills,,22.5,2.8,6.1,.466,0.7,2.2,.336,2.1,3.9,.336,2.3,3.0,.772,0.7,2.4,3.1,1.4,0.7,0.1,1.3,1.9,8.7,0,0,0
119,Paul Zipser,Forward,15.5,2.2,5.0,.447,0.6,1.8,.367,1.6,3.2,.367,1.3,1.6,.815,0.9,1.6,2.5,0.5,0.4,0.5,0.5,1.8,6.4,0,0,0
120,Pero Antic,Forward,15.0,1.8,4.4,.413,0.6,2.0,.286,1.2,2.4,.286,1.2,1.7,.726,1.1,2.5,3.6,0.8,0.4,0.3,0.8,2.4,5.4,0,0,0
121,Raul Neto,Guard,22.6,3.0,6.9,.441,0.5,1.8,.296,2.5,5.1,.296,1.6,2.1,.727,0.6,1.7,2.2,3.0,1.1,0.1,2.0,2.6,8.2,0,0,0
122,Ray McCallum,Guard,20.9,3.5,7.6,.458,0.5,1.9,.272,3.0,5.7,.272,1.6,2.3,.680,0.6,1.8,2.4,3.1,0.6,0.0,1.2,1.8,9.0,0,0,0
123,Ray Spalding,Guard,20.9,3.5,7.6,.458,0.5,1.9,.272,3.0,5.7,.272,1.6,2.3,.680,0.6,1.8,2.4,3.1,0.6,0.0,1.2,1.8,9.0,0,0,0
124,Ricky Ledo,Forward,20.9,3.5,7.6,.458,0.5,1.9,.272,3.0,5.7,.272,1.6,2.3,.680,0.6,1.8,2.4,3.1,0.6,0.0,1.2,1.8,9.0,0,0,0
125,Ricky Rubio,Guard,20.8,2.0,5.2,.385,0.8,2.3,.335,1.2,2.9,.335,2.2,2.9,.765,0.8,2.1,2.8,3.9,2.0,0.0,1.9,2.3,7.0,0,0,0
126,Rodions Kurucs,Forward,7.2,1.0,2.2,.462,0.3,1.2,.286,0.7,1.0,.286,0.0,0.0,0,0.0,0.5,0.5,0.3,0.8,0.3,0.5,2.0,2.3,0,0,0
127,Rodrigue Beaubois,Guard,21.9,4.4,8.8,.503,1.6,4.1,.388,2.8,4.7,.388,1.4,1.7,.821,0.4,1.9,2.3,2.2,0.8,0.3,1.5,2.4,11.8,0,0,0
128,Roko Ukic,Guard,22.4,3.2,7.2,.445,1.0,3.0,.333,2.2,4.2,.333,1.5,1.9,.773,0.5,1.5,2.0,3.3,0.8,0.1,1.3,1.6,8.9,0,0,0
129,Rudy Fernandez,Forward,24.3,3.9,8.6,.455,1.8,4.7,.375,2.1,3.8,.375,2.7,3.2,.841,0.8,2.3,3.1,2.6,1.6,0.2,1.5,1.9,12.3,0,0,0
130,Rudy Gobert,Center,18.4,2.8,3.7,.738,0.0,0.1,.000,2.8,3.7,.000,1.2,1.7,.663,1.8,2.8,4.6,0.3,0.5,1.6,1.3,1.9,6.7,0,0,0
131,Salah Mejri,Center,14.5,2.8,4.5,.630,0.1,0.2,.278,2.8,4.3,.278,0.9,1.6,.568,1.4,2.6,4.0,0.3,0.6,1.1,1.3,2.5,6.6,0,0,0
132,Semih Erden,Center,14.5,2.8,4.5,.630,0.1,0.2,.278,2.8,4.3,.278,0.9,1.6,.568,1.4,2.6,4.0,0.3,0.6,1.1,1.3,2.5,6.6,0,0,0
133,Serge Ibaka,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
134,Sergey Karasev,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
135,Shake Milton,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
136,Sheldon Mac,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
137,Stephen Zimmerman,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
138,Sun Yue,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
139,Taurean Waller-Prince,Forward,15.8,3.0,5.5,.554,0.0,0.1,.200,3.0,5.3,.200,0.9,1.3,.745,1.4,3.1,4.4,0.2,0.4,1.2,0.9,1.6,7.0,0,0,0
140,Terrance Ferguson,,15.3,1.8,4.7,.378,0.7,2.2,.317,1.1,2.5,.317,0.4,0.7,.611,0.5,0.7,1.2,0.7,0.3,0.3,1.0,1.8,4.7,0,0,0
141,Thanasis Antetokounmpo,,15.3,1.8,4.7,.378,0.7,2.2,.317,1.1,2.5,.317,0.4,0.7,.611,0.5,0.7,1.2,0.7,0.3,0.3,1.0,1.8,4.7,0,0,0
142,Thomas Robinson,"Born:

    March 17, 1991",15.3,1.8,4.7,.378,0.7,2.2,.317,1.1,2.5,.317,0.4,0.7,.611,0.5,0.7,1.2,0.7,0.3,0.3,1.0,1.8,4.7,0,0,0
143,Thon Maker,"Born:

    March 17, 1991",15.3,1.8,4.7,.378,0.7,2.2,.317,1.1,2.5,.317,0.4,0.7,.611,0.5,0.7,1.2,0.7,0.3,0.3,1.0,1.8,4.7,0,0,0
144,Tiago Splitter,Forward,23.6,4.4,7.2,.610,0.0,0.1,.182,4.4,7.1,.182,3.1,4.6,.664,1.7,3.5,5.3,1.2,1.1,0.8,1.5,2.9,11.9,0,0,0
145,Tibor Pleiss,Center,17.9,3.5,5.8,.595,0.1,0.2,.389,3.4,5.7,.389,1.8,2.3,.793,1.8,3.7,5.5,0.5,0.5,0.8,1.4,2.4,8.8,0,0,0
146,Tim Ohlbrecht,Center,17.9,3.5,5.8,.595,0.1,0.2,.389,3.4,5.7,.389,1.8,2.3,.793,1.8,3.7,5.5,0.5,0.5,0.8,1.4,2.4,8.8,0,0,0
147,Timofey Mozgov,Center,17.9,3.5,5.8,.595,0.1,0.2,.389,3.4,5.7,.389,1.8,2.3,.793,1.8,3.7,5.5,0.5,0.5,0.8,1.4,2.4,8.8,0,0,0
148,Timothe Luwawu-Cabarrot,Center,17.9,3.5,5.8,.595,0.1,0.2,.389,3.4,5.7,.389,1.8,2.3,.793,1.8,3.7,5.5,0.5,0.5,0.8,1.4,2.4,8.8,0,0,0
149,Tomas Satoransky,Guard,21.8,3.0,6.2,.491,0.7,1.8,.380,2.3,4.3,.380,1.6,2.0,.782,0.6,2.0,2.6,3.0,0.9,0.1,1.8,2.0,8.3,0,0,0
150,Tornike Shengelia,Forward,21.8,4.4,8.2,.544,0.5,1.6,.347,3.9,6.6,.347,2.7,3.8,.708,1.3,3.4,4.7,1.5,0.9,0.4,1.7,2.1,12.1,0,0,0
151,Viacheslav Kravtsov,Center,21.8,4.4,8.2,.544,0.5,1.6,.347,3.9,6.6,.347,2.7,3.8,.708,1.3,3.4,4.7,1.5,0.9,0.4,1.7,2.1,12.1,0,0,0
152,Victor Claver,Forward,21.3,2.4,5.4,.453,0.9,2.5,.351,1.6,2.9,.351,1.1,1.6,.680,0.9,2.8,3.7,1.2,0.9,0.4,1.3,2.0,6.8,0,0,0
153,Vitor Faverani,Center,16.5,2.9,5.6,.518,0.3,1.0,.282,2.7,4.7,.282,1.6,2.3,.686,1.2,2.8,4.0,0.5,0.4,0.5,1.7,2.3,7.7,0,0,0
154,Walker Russell,Guard,15.2,2.0,6.3,.316,0.4,1.8,.227,1.6,4.5,.227,0.5,0.5,1.000,0.3,0.6,0.9,2.3,0.6,0.0,1.8,2.0,4.9,0,0,0
155,Walt Lemon,Guard,15.2,2.0,6.3,.316,0.4,1.8,.227,1.6,4.5,.227,0.5,0.5,1.000,0.3,0.6,0.9,2.3,0.6,0.0,1.8,2.0,4.9,0,0,0
156,Willy Hernangomez,Guard,15.2,2.0,6.3,.316,0.4,1.8,.227,1.6,4.5,.227,0.5,0.5,1.000,0.3,0.6,0.9,2.3,0.6,0.0,1.8,2.0,4.9,0,0,0
157,Yogi Ferrell,Guard,15.2,2.0,6.3,.316,0.4,1.8,.227,1.6,4.5,.227,0.5,0.5,1.000,0.3,0.6,0.9,2.3,0.6,0.0,1.8,2.0,4.9,0,0,0
158,Zhou Qi,,15.2,2.0,6.3,.316,0.4,1.8,.227,1.6,4.5,.227,0.5,0.5,1.000,0.3,0.6,0.9,2.3,0.6,0.0,1.8,2.0,4.9,0,0,0
159,Zoran Dragic,Guard,18.8,3.0,6.5,.458,0.8,2.6,.304,2.2,3.9,.304,2.0,2.7,.728,0.9,1.8,2.7,1.1,0.9,0.1,1.5,2.1,8.7,0,0,0
